LD_003111,HALARA UK,LD03145,,,,广州速量在线科技有限公司,Fashion,HIPO靶向商家,美区T5,Sports & Outdoor,NULL,,T0,7494956842578185130,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494542612017022903,,,,,,,7494542612017022903,已填写,2026-04-01,1.skm,1,1,1,768116.69,T5,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_003112,Victini Clothing,LD03146,,,,石狮市谦莫服饰有限公司,Fashion,HIPO靶向商家,美区T4,Menswear & Underwear,/,,#N/A,7495170985695480487,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496158694577245012,,,,,,7496158694577245012,已填写,,,,,,,,2025-04-21,2.hipo,1,1,1,256.27,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_003113,Runway7,LD03148,,,,广州致简服装贸易有限公司,Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,NULL,,T0,7494696091399129982,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003114,halara.wardrobe,LD03149,,,,HK DFS Limited,Fashion,HIPO靶向商家,美区T5,Sports & Outdoor,Women's Bottoms,,T5,7496099247909472498,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496138122958702778,,,,,,,7496138122958702778,已填写,2025-04-07,1.skm,1,1,1,183700.39,T4,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_003115,44 Beauty,LD03150,,,,河南宝露盈进出口贸易有限公司,Fashion,HIPO靶向商家,美区T5,Fashion Accessories,NULL,,T0,7494552510553426480,育商,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003116,sinceretrade,LD03151,,,,莆田市荔城三羊开泰贸易有限公司,Home&Living,HIPO靶向商家,美区T5,Textiles & Soft Furnishings,NULL,,T0,7494555158937307874,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003117,Xingchen Gems Crystal,LD03152,,,,惠州市一心石缘工艺品有限公司,Fashion,HIPO靶向商家,美区T4,Jewelry Accessories & Derivatives,NULL,,T0,7494779651071183410,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496159649376471493,,,,,,7496159649376471493,已填写,,,,,,,,2025-05-07,2.hipo,1,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_003118,Quiet Wave shop,LD03153,,,,杭州旗鱼光梭网络科技有限公司,Home&Living,HIPO靶向商家,美区T5,Textiles & Soft Furnishings,NULL,,NULL,7496270252525914983,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003119,Eagle Stone Shop,LD03154,,,,福建温贝贸易有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Toys & Hobbies,Dolls & Stuffed Toys,,T1,7495376619404692071,育商,wangzhen.chris,,,,/,/,/,,是,1-待触达,,,,,,,,7495376619404692071,,,,,,7495376619404692071,已填写,,,,,,,,2024-03-04,2.hipo,0,0,0,,T0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_003120,Top Music Store,LD03155,,,,深圳市婳雅科技有限公司,3C,HIPO靶向商家,美区T5,Phones & Electronics,NULL,,T0,7494597233448356259,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
