LD_008241,ZLYingSHOP,LD08291,,,,/,3C,/,/,Beauty & Personal Care,/,,T3,7496160959743428899,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008242,VGOaccushop,LD08292,,,,/,/,/,/,Furniture,/,,T3,7496296991372052481,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008243,HavenMade,LD08293,,,,/,Home&Living,/,/,Furniture,/,,T3,7494200359629587699,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008244,Aoran Store,LD08294,,,,/,3C,/,/,Household Appliances,/,,T3,7496039562076063814,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008245,Cheetah Beauty Hair Shop,LD08295,,,,/,Fashion,/,/,Fashion Accessories,/,,T3,7495370429217474700,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496231674687949136,,,,,,,7496231674687949136,已填写,2025-06-14,3.other,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_008246,Vevivia Beauty,LD08296,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7495777655187212636,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008247,llano us,LD08297,,,,/,3C,/,/,Phones & Electronics,/,,T3,7496267748940024229,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008248,MagicStationery,LD08298,,,,/,3C,/,/,Computers & Office Equipment,/,,T3,7494192416836387841,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008249,IUNIK,LD08299,,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,/,,T3,8651858985591804725,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008250,ALBOTT,LD08300,,,,/,Beauty&FMCG,/,/,Toys & Hobbies,/,,T3,7494532441428428191,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
