LD_007481,larry w store,LD07531,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Nasal & Oral Care,,T3,7494424167607338452,快消生活,songli.0901,AM,,俞欣洁,建联直客@聂楠,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007482,Nine o'clock clothing,LD07532,,AM招商推进,,/,Fashion,/,/,Menswear & Underwear,Men's Bottoms,,T3,7494234088858944902,服饰服配,shenxueyan,AM,,罗才鑫,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007483,mdhand,LD07533,,AM招商推进,,/,Home&Living,/,/,Kitchenware,Kitchen Knives,,T3,7494415694090241117,日用家纺,zhouxinrui.zz,AM,,刘雨欣,/,/,/,,是,2-已触达/沟通中,美英欧生意共建入驻意向沟通-AM【xinrui&yuxin】,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007484,Jollyvogue,LD07534,,AM招商推进,,/,Home&Living,/,/,Textiles & Soft Furnishings,Bedding and Linens,,T3,7495646526549298054,日用家纺,zhangshiwei.92,AM,,刘雨欣,/,/,/,,是,2-已触达/沟通中,"张世伟, saradu, 刘雨欣",,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007485,Gumoon,LD07535,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Fragrance,,T3,7494400829837313647,快消生活,fanwenjun.215,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007486,SONTSTORE,LD07536,,,,/,Home&Living,/,/,#N/A,/,,#N/A,7494529528906155357,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007487,AVA LANE,LD07537,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Underwear,关春兰,T3,7494527353799214971,服饰服配,shenxueyan,AM,,Millie Cheng,待认领,/,/,,是,5-已入驻,,,,,,,,7494527353799214971,,,,,,,已填写,,,,,,,,2026-07-01,2.hipo,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
LD_007488,RiraX,LD07538,,AM招商推进,,/,3C,/,/,Health,Nutrition & Wellness,,T3,7494588013125076746,3C,yaoxuyiyi,AM,,张莞清,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007489,MOZA Racing,LD07539,,,,/,3C,/,/,#N/A,/,,#N/A,7496251361622591612,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007490,FreshFit,LD07540,,AM招商推进,fashion自补,/,Fashion,/,/,Menswear & Underwear,/,黄嘉伟,T3,7494416342642230773,服饰服配,linyangqin.cyrus7,AM,,谢冰沁Bibi,韵茵,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
