LD_001691,ToolMaster's Den,LD01695,,,,青岛越动飞跨境电子商务有限公司,3C,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Personal Care Appliances,,T1,7496086065405790891,3C,panlin.888,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,7494723513879594613,,,,,,,7494723513879594613,已填写,2026-06-17,2.hipo,1,1,0,,T0,,,,,,,,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0
LD_001692,KiiP Gadget,LD01696,,,,勤励华商-CNOB,Home&Living,HIPO靶向商家,CNOB,Automotive & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001693,CaseHolic,LD01697,,,,深圳市宝安区新桥街道爱壳壳电子产品店（个体工商户）,Home&Living,HIPO靶向商家,CNOB,Automotive & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001694,TRANYOO VIETNAM,LD01698,,,,深圳市酷欧奇贸易有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_001695,MINI Smartphone,LD01699,,,,深圳市鹏翔欣科技有限公司,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Educational Toys,,T0,7495527528476936501,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001696,h2ofloss US,LD01700,必招 7 月,,,深圳市卓铄科技服务有限公司,3C,HIPO靶向商家,CNOB,Beauty & Personal Care,Personal Care Appliances,,T2,7495748917114079286,3C,patonlam,BD,李泽,,老板,@Lynn,深圳,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001697,Dophin Audio Shop,LD01701,,AM招商推进,,深圳鑫来利科技有限公司,3C,HIPO靶向商家,CNOB,Phones & Electronics,Audio & Video,,T3,7496007276517689708,3C,wanglizhen.321,AM,,文思琪,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001698,Rust Retro Flamenco Dress,LD01702,,,,詩瀾貿易有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001699,IDC Digital Camera Shop-US,LD01703,,,,維泰克科技有限公司,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",/,,,NULL,NULL,NULL,,,,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_001700,MUHAMMAD HAKIM BIN HASSAN,LD01704,,,,香港超級凱格爾科技有限公司,Fashion,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
