LD_006341,BB Face Hair Shop,LD06391,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,刘亚婷,T3,7495809193422851010,服饰服配,weiyue.0123,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006342,Bling Hair Beauty,LD06392,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,李晓宗,T3,7495446732521244885,服饰服配,zhoujie.jessie,AM,,郭晓彤,/,/,/,,是,5-已入驻,,,,,,,7496124256981191176,,,,,,,,已填写,2025-03-21,3.other,1,1,1,202094.00,T4,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006343,CICIKALEO,LD06393,,AM招商推进,,/,Fashion,/,/,Jewelry Accessories & Derivatives,Artificial Gemstones,祝航宇,T3,7496201025064569607,运动潮奢,hsinyi.7,AM,,郭晓彤,/,/,/,,是,5-已入驻,,,,,,,,7496180520784595867,,,,,,,已填写,,,,,,,,2025-05-09,3.other,1,1,0,0.00,T0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
LD_006344,BodyAccel US,LD06394,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Nasal & Oral Care,,T3,7495555333047486596,快消生活,songli.0901,AM,,王宁,/,/,/,,是,5-已入驻,【征海】欧洲POP对接群,,,,,,7496123042170636450,7496123042170636450,,,,,,,已填写,2025-03-28,3.other,1,1,1,5209.64,T2,2025-03-19,3.other,1,1,1,6856.63,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006345,Gravik Tools,LD06395,,,,/,3C,/,/,#N/A,/,,#N/A,7495991527359219726,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006346,Phueut Direct,LD06396,,AM招商推进,,/,3C,/,/,Household Appliances,Home Appliances,,T3,7495722070397651750,3C,zhangwenli.168,AM,,郑羽伶,/,/,/,,是,5-已入驻,,,,,,,,7496293252641097814,,,,,,,已填写,,,,,,,,2025-07-26,2.hipo,1,1,1,0.00,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006347,SACE LADY Global,LD06397,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Makeup,,T3,7495978612996344012,快消生活,chenhaihua,AM,,欧阳嘉桦,/,/,/,,是,5-已入驻,,,,,,,7496235505590831900,7496235505590831900,,,,,,,已填写,2025-07-08,2.hipo,1,1,1,17380.63,T2,2025-06-17,2.hipo,1,1,1,6408.19,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006348,RELXTIME,LD06398,,,,/,Home&Living,/,/,#N/A,/,,T3,7496185945430002371,家具家装,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006349,JoyBox story,LD06399,,,,/,3C,/,/,#N/A,/,,T3,7496101167663844091,3C,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006350,TKSIKT,LD06400,,AM招商推进,,/,Fashion,/,/,Shoes,Women's Shoes,李晓宗,T3,7495372527474871258,运动潮奢,shenzehong,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
