LD_001141,TACVASEN,LD01143,,,,厦门拉森贸易有限公司,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Menswear & Underwear,/,,,NULL,NULL,NULL,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001142,okwrap,LD01144,,,,深圳市博乐新科电子有限公司,Beauty&FMCG,战略重点商家,A. 知名品牌｜Recognized Brands,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496099210487695592,7496099210487695592,,,,,,7496099210487695592,已填写,2025-04-14,2.hipo,1,1,1,8269.51,T2,2025-02-28,1.skm,1,1,1,115.24,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001143,olevs,LD01145,必招 7 月,,,惠州市腾牛商贸有限公司,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7494328528028009580,7494328528028009580,,,,,,7494328528028009580,已填写,,,,,,,,2025-12-29,3.other,1,1,0,,T0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
LD_001144,eambrite,LD01146,,,,/,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Home Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001145,tribesigns,LD01147,,,,深圳市独树一帜互联网有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Furniture,/,,#N/A,7496006263948740700,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496100210002791247,7496100210002791247,,,,,,7496100210002791247,已填写,2025-03-31,1.skm,1,1,1,96552.25,T3,2025-02-27,1.skm,1,1,1,101683.94,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001146,mscien,LD01148,必招 7 月,,,温州市智跑体育文化发展有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,7496139168670058593,7496139168670058593,,,,,,7496139168670058593,已填写,,,,,,,,2025-04-03,3.other,1,1,1,45361.26,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001147,4drc,LD01149,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001148,lefant,LD01150,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494451279177681086,,,,,,7494451279177681086,已填写,,,,,,,,2021-12-22,2.hipo,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001149,x sense,LD01151,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001150,tugeem,LD01152,,,,/,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Home Improvement,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
