LD_007691,Pop Ink Tees,LD07741,,AM招商推进,,/,Fashion,/,/,Menswear & Underwear,Men's Tops,彭之茂,T4,7496173538198718928,运动潮奢,chenwei.003,AM,,张玲,星熠时代,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_007692,Savonire,LD07742,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,Sport & Outdoor Clothing,黄嘉伟,T4,7494321016364827690,运动潮奢,lishachoo,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007693,BeginherHair,LD07743,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,,T4,7494097368670438816,服饰服配,weiyue.0123,AM,,郭晓彤,CNGBCB67QW36,7.9,/,,是,5-已入驻,,,,,,,,7494097368670438816,,,,,,,已填写,,,,,,,,2026-07-09,2.hipo,1,1,,240.33,T1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
LD_007694,Sansi Lighting,LD07744,,AM招商推进,,/,Home&Living,/,/,Home Improvement,Lights & Lighting,,T4,7495576051159239127,家具家装,wuqifeng,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007695,Courageous and unstoppable,LD07745,,AM招商推进,,/,Fashion,/,/,Menswear & Underwear,Men's Bottoms,黄嘉伟,T4,7496158705114777677,服饰服配,shenxueyan,AM,,罗才鑫,/,/,/,,是,5-已入驻,,,,,,,7494115863056975147,7494115863056975147,,,,,,,已填写,,2.hipo,0,0,0,,T0,2025-10-12,3.other,0,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_007696,TX Marketplace,LD07746,,,,/,Fashion,/,/,#N/A,/,,T4,7494136608898647166,服饰服配,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007697,Tenwolf,LD07747,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,Sport & Outdoor Clothing,,T4,7496314362941770399,运动潮奢,jianglin.jessica,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007698,Guccqueen US,LD07748,,AM招商推进,,/,Home&Living,/,/,Automotive & Motorcycle,Car Interior Accessories,,T4,7496095247918008431,汽摩工具,liyanqiu.tk,AM,,王妙辰,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007699,PEPPERMOLLY,LD07749,,AM招商推进,fashion自补,/,Fashion,/,/,Sports & Outdoor,/,,T4,7495079980543412479,运动潮奢,qieyixiao,AM,,张玲,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007700,YODOLLAOfficial,LD07750,,AM招商推进,,/,Home&Living,/,/,Furniture,Outdoor Furniture,,T4,7495810518975023135,家具家装,pengqi.lovework,AM,,韩希雯,/,S,/,,是,5-已入驻,,,,,,,,7496155486583622327,,,,,,,已填写,,,,,,,,2025-04-19,3.other,1,1,1,1692.27,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
