LD_008351,ILLIYOON US,LD08401,,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Skincare,,T4,7495971491988146527,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008352,ISUNIE,LD08402,,AM招商推进,fashion自补,/,Fashion,/,/,Sports & Outdoor,/,黄嘉伟,T3,7494924913480403584,运动潮奢,jianglin.jessica,AM,,张玲,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008353,Scabine,LD08403,,,,/,Beauty&FMCG,/,/,Baby & Maternity,/,,T3,7495845953563757476,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008354,Premium Living Hub,LD08404,,,,/,Home&Living,/,/,Furniture,/,,T3,7494648752323593401,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008355,SEAYOFA FOOD,LD08405,,,,/,/,/,/,Food & Beverages,/,,T3,7494457573419681092,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008356,Yass Clean USA,LD08406,,,,/,Home&Living,/,/,Home Supplies,/,,T3,7496130543000783411,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008357,VSHOW HAIR Shop,LD08407,,,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,T3,7495205959815826414,服饰服配,NULL,,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008358,WIG QUEEN,LD08408,,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,/,李晓宗,T3,7495823303166035981,育商,zhouruilin.824,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008359,Enerlux,LD08409,,,,/,Home&Living,/,/,Household Appliances,/,,T3,7494474494395713395,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008360,KOLILI US,LD08410,,,,/,Fashion,/,/,Sports & Outdoor,/,,T3,7495795333028613110,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
