LD_001521,PG CHAKRA,LD01525,,,,溯泽御风(杭州)科技有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001522,Huaxin Auto Supplies,LD01526,,AM招商推进,,湛江桦信二手车有限公司,Home&Living,HIPO靶向商家,CNOB,Automotive & Motorcycle,Car Interior Accessories,,T3,7496242832902687059,汽摩工具,xunan.97520,AM,,王妙辰,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001523,Aomimegel,LD01527,,,,广州傲名商贸有限公司,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001524,TrueRelief US,LD01528,,,,海口龙华占静逸信息咨询工作室,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Bath & Body Care,,T2,7496091773835315573,快消生活,songli.0901,,,,/,/,/,,是,1-待触达,,,,,,,7494195992794072584,,,,,,,7494195992794072584,已填写,2025-10-11,2.hipo,1,1,1,25094.18,T2,,,,,,,,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_001525,Cen Star,LD01529,,,,昆明藤霈绮商贸有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",Makeup,,T2,7495851948370135868,快消生活,liuburong.emma,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001526,Aurora Nursing,LD01530,,,,莆田城厢瑾之琅电子商务有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",Skincare,,T2,7496250171580975801,快消生活,wanghuarong.925,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001527,AlphaPH,LD01531,,,,安徽欧典客品牌管理有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001528,Tummiva Official Store-ID,LD01532,,,,常德常测检测技术有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001529,CISSYIA,LD01533,,,,长沙贝怡科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001530,7Lume,LD01534,,,,四川乐桠网络科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
