LD_006311,EMkimi（Bamboo）,LD06359,,,,/,Fashion,/,/,#N/A,/,,行业提报,7496011224300227368,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006312,PHILIPS,LD06360,,,,/,Home&Living,/,/,#N/A,/,,行业提报,7495879427322121111,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006313,Anker SOLIX,LD06361,,,,/,Home&Living,/,/,#N/A,/,,25Q4 T5,7494250503503185732,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006314,Okicoler Home,LD06362,,,,/,/,/,/,#N/A,/,,行业提报,7495957608429751162,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006315,TibibeeToys,LD06363,,,,/,Beauty&FMCG,/,/,#N/A,/,,25Q4 T5,7496287588014394187,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006316,FanttikRide,LD06364,,,,/,Beauty&FMCG,/,/,#N/A,/,,25Q4 T5,7495732158442932868,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006317,Fanttik Collection,LD06365,,,,/,Beauty&FMCG,/,/,#N/A,/,,25Q4 T5,7495844212294323092,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006318,TaskStar store,LD06366,,,,/,Home&Living,/,/,#N/A,/,,25Q4 T5,7495854552764352895,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006319,NUPTIO,LD06367,,,,/,Home&Living,/,/,#N/A,/,,25Q4 T5,7495569233014458462,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,7496099140991879404,7496099140991879404,,,,,,7496099140991879404,已填写,2025-03-18,1.skm,1,1,1,3403.15,T1,2025-02-25,2.hipo,1,1,1,28939.07,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006320,EOEOTWO Official,LD06368,,,,/,Fashion,/,/,#N/A,/,,25Q4 T5,7495991347271010740,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
