LD_006201,The king's collection,LD06249,必招 7 月,,,/,Fashion,/,/,Collectibles,Cultural Items,,T2,7494168721361896991,运动潮奢,yanbailu,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006202,Dragon Kiln,LD06250,必招 7 月,,,/,Fashion,/,/,Collectibles,Sports Collectibles,,T3,7494604733687039171,运动潮奢,yanbailu,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006203,JYYSHINEcu,LD06251,必招 7 月,,,/,Fashion,/,/,Collectibles,Lucky Draw,,T4,7496161880270867449,运动潮奢,hsinyi.7,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006204,Amorissaq,LD06252,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T0,7494590491976631664,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006205,Oumai US,LD06253,必招 7 月,,,/,Fashion,/,/,Jewelry Accessories & Derivatives,Non-natural Crystal,,T0,7495295031512304165,新开国,tangwei.012,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7494203473490052956,7494203473490052956,,,,,,7494203473490052956,已填写,,,,,,,,2025-10-16,3.other,0,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_006206,LUXE PT,LD06254,必招 7 月,,,/,Fashion,/,/,Pre-Owned,Pre-Loved Luggage & Bags,,T3,7494143328219268147,运动潮奢,yanbailu,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006207,Gecacard,LD06255,必招 7 月,,,/,Fashion,/,/,Collectibles,Trading Cards & Accessories,,T3,7494406064633185305,运动潮奢,yanbailu,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006208,inkhausstore,LD06256,必招 7 月,,,/,Fashion,/,/,Menswear & Underwear,Men's Tops,,T1,7494210259972163048,新开国,chloeguo.03,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7494210259972163048,7494210259972163048,,,,,,7494210259972163048,已填写,,,,,,,,2026-03-07,2.hipo,1,1,1,600.68,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006209,Luxe Cache,LD06257,必招 7 月,,,/,Fashion,/,/,NULL,NULL,,T0,7494495649645888647,运动潮奢,wanwan.888,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006210,Yan Yi,LD06258,必招 7 月,,,/,Fashion,/,/,#N/A,Costume Jewelry & Accessories,,T1,7494165590500083275,育商,zhouruilin.824,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
