LD_007321,FrSaraLife,LD07371,,AM招商推进,,/,3C,/,/,Household Appliances,Home Appliances,,T3,7496152711684130830,3C,yangyuhui,AM,,胡思倩,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007322,Azazie US,LD07372,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Dresses,蔡喜花,T3,7494313864849360645,服饰服配,xiechaoquan,AM,,Millie Cheng,礼服,/,/,,是,5-已入驻,,,,,,,,7494300976382116888,,,,,,,已填写,,,,,,,,2025-12-10,1.skm,1,1,1,18391.44,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007323,AgeRose US,LD07373,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Suits & Sets,金惠芷,T2,7496040277623409505,服饰服配,youwenhao.ywh,AM,,Millie Cheng,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007324,Bsubseach,LD07374,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,"Swimwear, Surfwear & Wetsuits",王丹,T3,7495472268872419738,运动潮奢,zhaomin66,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007325,Hap Tim,LD07375,,AM招商推进,,/,Home&Living,/,/,Sports & Outdoor,Camping & Hiking,,T3,7495569075143346332,运动潮奢,yuna.xu,AM,,周洋,/,/,/,,是,5-已入驻,,,,,,,7496155659916970787,7496155659916970787,,,,,,,已填写,2025-04-24,3.other,1,1,1,0.00,T0,2025-04-28,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007326,Andile Toys,LD07376,,AM招商推进,,/,Beauty&FMCG,/,/,Toys & Hobbies,Sports & Outdoor Play,,T3,7496090644458277187,快消生活,wangzhen.chris,AM,,欧阳嘉桦,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007327,CARD Void,LD07377,,,,/,Fashion,/,/,#N/A,/,,#N/A,7496131522068318719,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007328,Nathan case,LD07378,,AM招商推进,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7496185946431982311,3C,yaoxuyiyi,AM,,张莞清,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007329,EOEOTWO Life,LD07379,,AM招商推进,,/,Home&Living,/,/,Sports & Outdoor,Fitness,,T3,7496085095210125790,运动潮奢,zhuyanan.1202,AM,,周洋,/,/,/,,是,5-已入驻,,,,,,,,7494329596210152452,,,,,,,已填写,,,,,,,,2025-12-29,2.hipo,1,1,1,0.00,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007330,NEO-TEC Garden,LD07380,,AM招商推进,,/,Home&Living,/,/,Tools & Hardware,Garden Tools,,T3,7496092739707046454,汽摩工具,tangyong.allen,AM,,周羽中 Ray,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
