LD_006791,PetalWear,LD06841,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,王一斐,T3,7496008438674983747,服饰服配,mayinxuan.127,AM,,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006792,EZVALO,LD06842,,AM招商推进,,/,Home&Living,/,/,Home Improvement,Lights & Lighting,,T3,7495286324173506800,家具家装,zhuweiting,AM,,韩希雯,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006793,inflation streetwear,LD06843,,AM招商推进,,/,Fashion,/,/,Menswear & Underwear,Men's Tops,,T3,7496315585292568983,服饰服配,xuchen.quan666,AM,,罗才鑫,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006794,Amzseat Store,LD06844,,AM招商推进,,/,Home&Living,/,/,Kitchenware,Bar & Wine Utensils,,T3,7496304489215134155,日用家纺,lishiyun.607,AM,,刘雨欣,/,/,/,,是,5-已入驻,Amzseat Store-CNGBCBG7QWMA,,,,,,7496304489215134155,7496304489215134155,,,,,,,已填写,,3.other,0,0,,,T0,2026-07-07,2.hipo,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_006795,RunningSnail,LD06845,,AM招商推进,,/,3C,/,/,Phones & Electronics,Audio & Video,,T3,7495832087428237549,3C,zhangtingting.2020,AM,,郑羽伶,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006796,Mr.EGO,LD06846,,AM招商推进,,/,3C,/,/,Household Appliances,Home Appliances,,T3,7494170798482621855,3C,yangyuhui,AM,,胡思倩,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006797,YJJ JEWELRY,LD06847,,AM招商推进,,/,Fashion,/,/,Jewelry Accessories & Derivatives,Non-natural Crystal,,T3,7495837483156867149,运动潮奢,tangmengze,AM,,郭晓彤,@郭晓彤,/,/,,是,5-已入驻,,,,,,,,7496181906136074495,,,,,,,已填写,,,,,,,,2025-05-13,3.other,1,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_006798,Vekkia,LD06848,,AM招商推进,,/,Home&Living,/,/,Textiles & Soft Furnishings,Bedding and Linens,,T3,7495647846789188478,日用家纺,chenxi.0722,AM,,刘雨欣,/,/,/,,是,5-已入驻,,,,,,,,7495647846789188478,,,,,,,已填写,,,,,,,,2024-04-26,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_006799,JOYMOR BRAVO,LD06849,,AM招商推进,,/,Beauty&FMCG,/,/,Toys & Hobbies,Sports & Outdoor Play,,T3,7496179523737389389,快消生活,qiulei.0117,AM,,俞欣洁,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006800,PurePinkone,LD06850,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Makeup,,T3,7496137166839187652,快消生活,liuburong.emma,AM,,陈杏妹,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
