LD_004961,hubeye,LD05002,,,,温州汇贝商贸有限公司,Fashion,HIPO靶向商家,P2 - Whitelabel - AMZ,Fashion Accessories,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_004962,kredioo,LD05003,,,,广州明亮汇贸易有限公司,Beauty&FMCG,HIPO靶向商家,P2 - Whitelabel - AMZ,Beauty & Personal Care,NULL,,T0,7495858772245122020,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_004963,elbbub,LD05004,,,,海口宣琳霖商贸商行（个人独资）,Beauty&FMCG,HIPO靶向商家,P2 - Whitelabel - AMZ,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_004964,drmode,LD05005,,,,深圳市易商世代文化发展有限公司,Beauty&FMCG,HIPO靶向商家,P2 - Whitelabel - AMZ,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_004965,llano,LD05006,,,,深圳市励凯科技有限公司,3C,HIPO靶向商家,P2 - Whitelabel - AMZ,Household Appliances,NULL,,T0,7494083337368995345,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496015416630545261,,,,,,,7496015416630545261,已填写,2024-12-16,2.hipo,1,1,1,19904.41,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_004966,jrl,LD05007,,,,Lellek GmbH,Beauty&FMCG,HIPO靶向商家,P2 - Whitelabel - AMZ,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_004967,vista,LD05008,,,,深圳市懿度电子有限公司,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Home Improvement,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7494540088619730422,,,,,,,7494540088619730422,已填写,,2.hipo,0,0,0,,T0,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_004968,venteo,LD05009,,,,VENTEO,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Home Improvement,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_004969,brthory,LD05010,,,,杭州沃布莱德家具有限公司,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Furniture,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_004970,joiavvy,LD05011,,,,广州签文玩具有限公司,Beauty&FMCG,HIPO靶向商家,P2 - Whitelabel - AMZ,Health,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
