LD_008231,MOKO.Shop,LD08281,,,,/,Fashion,/,/,Sports & Outdoor,/,,T3,7495580528145893869,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008232,Hykoont Shop,LD08282,,,,/,Home&Living,/,/,Household Appliances,/,,T3,7496117190622153284,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496117190622153284,7496117190622153284,,,,,,7496117190622153284,已填写,2025-05-08,2.hipo,1,0,0,,T0,2025-05-09,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_008233,Jbextension.usa,LD08283,,,,/,Fashion,/,/,Fashion Accessories,/,,T3,7495991502010616516,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494080703146788695,7494080703146788695,,,,,,7494080703146788695,已填写,2025-03-31,2.hipo,1,1,1,104436.86,T4,2021-07-06,1.skm,1,1,1,279842.10,T4,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008234,Cofier Lashes,LD08284,,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,/,,T3,7495753519966030843,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7495753519966030843,,,,,,7495753519966030843,已填写,,,,,,,,2026-04-16,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_008235,Vivid Inflatable Hub,LD08285,,,,/,/,/,/,Womenswear & Underwear,/,,T3,7494091226381256344,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008236,CrownShades Store,LD08286,,,,/,Home&Living,/,/,Furniture,/,,T3,7494657176728929404,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008237,AnotherChill,LD08287,,,fashion自补,/,Fashion,/,/,Womenswear & Underwear,Women's Suits & Sets,,T3,7495732181061306848,服饰服配,NULL,,,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008238,Cider,LD08288,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7495295374523467863,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495295374523467863,7495295374523467863,,,,,,7495295374523467863,已填写,2025-04-08,2.hipo,1,1,1,0.00,T0,2025-03-27,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008239,XAP SHOP,LD08289,,,,/,/,/,/,Household Appliances,/,,T3,7494580632647337706,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008240,NadulaHair,LD08290,,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,/,梁震秋,T3,7495182774707587837,服饰服配,weiyue.0123,AM,,郭晓彤,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
