LD_001711,Cofier Lashes,LD01717,,,,LUCKY DEVELOPMENT(HK)LIMITED,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",/,,#N/A,7496122868440861113,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,7495753519966030843,,,,,,7495753519966030843,已填写,,,,,,,,2026-04-16,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001712,Pink Elephant,LD01718,必招 7 月,,,Modelones美甲（聚合）,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,Makeup,,T2,7495132451489155401,快消生活,liuburong.emma,BD,李泽,,负责人,@盈盈,深圳,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001713,VGO-beauty,LD01719,,,,VGO（聚合）,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",Skincare,,T3,7495154527278500254,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001714,glad2glow.indo,LD01720,,,,广州蜚美,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001715,Flower Knows Makeup,LD01721,,,,花知晓,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",/,,T5,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,7494706610633737712,,,,,,7494706610633737712,已填写,,,,,,,,2026-06-18,3.other,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001716,JOOCYEE US,LD01722,,,,橘朵,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,Makeup,,T3,7496275559471090375,快消生活,wanghuarong.925,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001717,MilyBest Beauty,LD01723,,AM招商推进,,欧蒂莉丝,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,Makeup,,T4,7496190158308608064,快消生活,liuburong.emma,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001718,Carslan.VN,LD01724,,,,卡姿兰,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_001719,Dreamlover Online,LD01725,,AM招商推进,,深圳艺轩贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion Accessories,Hair Extensions & Wigs,郑雨时,T3,7496158730325297279,服饰服配,weiyue.0123,AM,,郭晓彤,CNUSCBCEELBL,7.7,/,,是,5-已入驻,,,,,,,,7494776757395883753,,,,,,,已填写,,,,,,,,2026-07-18,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1
LD_001720,WOODNITY INC,LD01726,,AM招商推进,,通山县员晟庆贸易有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,Skincare,,T3,7495917959353043149,快消生活,wanghuarong.925,AM,,欧阳嘉桦,/,/,/,,是,5-已入驻,,,,,,,,7496054042430310586,,,,,,,已填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
