LD_005641,HE WEAR,LD05683,,,,泉州市维妙服饰有限公司,Fashion,HIPO靶向商家,美区T4,Menswear & Underwear,/,,#N/A,8647562305771313411,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,7496253176962255107,7496253176962255107,,,,,,7496253176962255107,已填写,2025-09-29,2.hipo,1,1,1,23689.56,T2,2025-08-22,2.hipo,1,1,1,66355.58,T3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005642,Attraco.us,LD05684,必招 7 月,AM招商推进,fashion自补,东莞市康强科技有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,马思宇,T4,7495670083700427375,服饰服配,cicigao,AM/BD,赵月晨,谢冰沁Bibi,Attraco,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005643,Ubesgoo US,LD05685,,AM招商推进,,UBESGOO LIMITED,Fashion,HIPO靶向商家,美区T4,Luggage & Bags,Luggage & Travel Bags,梁震秋,T4,7495924696016390155,日用家纺,zhangshiwei.92,AM,,陈晓,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005644,VanAcc,LD05686,,AM招商推进,,ZHIMAO STAR TECHNOLOGY LIMITED,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T5,7495837402125273312,家具家装,pengqi.lovework,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005645,Healthy Deserve Shop,LD05687,必招 7 月,,,BloomDrop LLC,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Bath & Body Care,,T3,7494252057448187368,快消生活,chenhaihua,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,7494196072654538077,7494196072654538077,,,,,,7494196072654538077,已填写,,,,,,,,2025-10-11,2.hipo,1,1,1,12134.09,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005646,Barbarian gentleman dress,LD05688,,,,泉州市蛮绅服饰有限公司,Fashion,HIPO靶向商家,美区T4,Menswear & Underwear,/,,T3,7496245210801802122,服饰服配,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496245210801802122,7496245210801802122,,,,,,7496245210801802122,已填写,2025-10-05,2.hipo,1,0,0,,T0,2025-09-26,2.hipo,1,1,1,79.69,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005647,Radiance Rhapsody,LD05689,,AM招商推进,,武汉赛广科技有限公司,Home&Living,HIPO靶向商家,美区T4,Sports & Outdoor,Fitness,,T3,7495813237714946228,运动潮奢,wanwan.888,AM,,周洋,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005648,SupU.U,LD05690,必招 7 月,,,武汉通建拓商贸有限公司,Home&Living,HIPO靶向商家,美区T4,NULL,NULL,,T0,8647422563740325888,运动潮奢,hsinyi.7,BD,江家徵,,/,/,/,,是,1-待触达,,已清退,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005649,DWF DASHCAM,LD05691,,,,"Hong Kong Dingfeng Times Technology Co., Limited",Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,/,,#N/A,7495153637447142394,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005650,Wavy Chic Beauty,LD05692,必招 7 月,,,Ulady Limited,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Personal Care Appliances,,T3,7495149903688534318,3C,patonlam,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7494548152118969498,7494548152118969498,,,,,,7494548152118969498,已填写,,,,,,,,2026-04-14,1.skm,1,1,1,418954.00,T5,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
