LD_000331,shieldon,LD00331,,,,"广州通谷电子科技有限公司 (Guangzhou Tonggu Electronic Technology Co., Ltd.)",3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000332,allesin,LD00332,,,,吉林欧博商贸有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Textiles & Soft Furnishings,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000333,loyal,LD00333,,,,山东福瑞顿机械设备有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Computers & Office Equipment,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000334,cleanse,LD00334,,,,义乌嘛呀贸易有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Home Improvement,NULL,,T0,7495846770936416542,育商,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,7494135547490501648,7494135547490501648,,,,,,7494135547490501648,已填写,,2.hipo,0,0,0,,T0,2025-12-10,2.hipo,1,1,1,0.00,T0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_000335,mascooter,LD00335,,,,"深圳市智美卢克斯科技有限公司 (Shenzhen Zamelux Technology Co., Ltd.)",Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000336,stigma,LD00336,,,,浙江绣龙文化传媒有限公司,Beauty&FMCG,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000337,iwmh,LD00337,,,,深圳费奇科技有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Furniture,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000338,kalopsia,LD00338,,,,成都盛世磐古广告有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000339,likarto,LD00339,,,,Likarto GmbH,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Computers & Office Equipment,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000340,winzz,LD00340,,,,南京乐府电子商务有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Toys & Hobbies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
