LD_007881,Olayks-USA,LD07931,,,,/,/,/,/,Household Appliances,/,,T3,7494312381997090173,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007882,YWIGS,LD07932,,,,/,Fashion,/,/,Fashion Accessories,/,,T3,7495753562218859101,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494492556179637553,,,,,,7494492556179637553,已填写,,,,,,,,2026-03-13,2.hipo,1,1,1,19448.06,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007883,Bedsure home,LD07933,,,,/,Home&Living,/,/,Textiles & Soft Furnishings,/,,T3,7495703941837392469,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496099046085396893,7496099046085396893,,,,,,7496099046085396893,已填写,2025-04-10,1.skm,1,1,1,2356.43,T1,2025-02-25,1.skm,1,1,1,446.09,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007884,Hanin,LD07934,必招 7 月,,,汉印,3C,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,/,/,,/,NULL,NULL,NULL,BD,叶佳智,,/,/,/,,是,5-已入驻,,日本店铺已开，7495822225815276148,,,,,7495832070131255924,7495832070131255924,,,,,,7495832070131255924,已填写,2025-06-24,1.skm,1,1,1,31677.63,T3,2025-06-20,1.skm,1,1,1,5383.83,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007885,ZELUS Fitness,LD07935,,,,/,Fashion,/,/,Sports & Outdoor,/,,T3,7495783961832098608,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496261472985451288,,,,,,,7496261472985451288,已填写,2025-07-03,2.hipo,1,1,1,1378.98,T1,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007886,Modmints,LD07936,,,,/,Fashion,/,/,Jewelry Accessories & Derivatives,/,,T3,7495554116568582613,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007887,MREGB LLC,LD07937,必招 7 月,,,/,3C,/,/,Household Appliances,Home Appliances,,T2,7494484882635392952,3C,wangzhenwei.1,BD,李泽,,@李洪,/,/,,是,5-已入驻,,,,,,,7495918101476902970,7495918101476902970,,,,,,7495918101476902970,已填写,2025-04-10,2.hipo,1,1,1,90177.45,T3,2025-04-02,2.hipo,1,1,1,473.78,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007888,Aura Attic,LD07938,必招 7 月,,,/,Beauty&FMCG,/,/,Sports & Outdoor,"Swimwear, Surfwear & Wetsuits",,T2,7496190184915306969,快消生活,wangshu.jasmine,BD,张志强,,/,/,/,,是,5-已入驻,,,,,,,7494755671918282063,7494755671918282063,,,,,,7494755671918282063,已填写,,,,,,,,2026-07-03,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_007889,Sloosh,LD07939,必招 7 月,,,/,Beauty&FMCG,/,/,Toys & Hobbies,Sports & Outdoor Play,,T5,7495314705331161698,快消生活,wangshu.jasmine,BD,张志强,,/,/,/,,是,5-已入驻,,17/07/2026入驻跟卖家和am对齐,,77777_11_3.png,,,,7494778553553945977,,,,,,,已填写,,,,,,,,2026-07-17,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_007890,Cyber Mac,LD07940,必招 7 月,,,/,3C,/,/,Phones & Electronics,Audio & Video,,T4,7495675711720164339,3C,wanglizhen.321,BD,李泽,,Jonny-负责人,@Johnny,深圳龙岗,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
