LD_000221,pawhut,LD00221,,,,上海仲人实业有限公司（Songmics旗下品牌）,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Pet Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000222,fbsport,LD00222,,,,深圳聚隆创科技有限公司,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000223,cclife,LD00223,,,,深圳市创意生活科技有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Tools & Hardware,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000224,creality,LD00224,,,,"深圳市创想三维科技股份有限公司 (Shenzhen Creality 3D Technology Co., Ltd.)",3C,战略重点商家,A. 知名品牌｜Recognized Brands,Computers & Office Equipment,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000225,grifema,LD00225,,,,/,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Home Improvement,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000226,launch,LD00226,,,,深圳车联易通科技有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Automotive & Motorcycle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000227,dreo,LD00227,,,,"深圳市赫尚创新科技有限公司 (Shenzhen Hesung Innovation Technology Co., Ltd.)",3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000228,shadowhawk,LD00228,,,,深圳市格瑞特国际贸易有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Tools & Hardware,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000229,toputure,LD00229,,,,深圳市彩玲宏远科技有限公司,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000230,baseus,LD00230,必招 7 月,,,深圳市塔库玛科技有限公司,3C,战略重点商家,A. 知名品牌｜Recognized Brands,NULL,NULL,,T0,7494541004013865845,育商,NULL,BD,叶佳智,,/,/,/,,是,4-入驻中,,,,,,,7494723419579189038,,,,,,,7494723419579189038,已填写,2026-06-23,1.skm,1,1,1,289.37,T1,,,,,,,,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
