LD_001721,Kaleidos Makeup,LD01727,,,,万花镜,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",NULL,,T0,7494419753968437583,育商,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001722,Ainube,LD01728,,,,义乌市俏基电子商务有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",Makeup,,T2,7496030080109742730,快消生活,wanghuarong.925,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001723,SADOER-BEAUTY,LD01729,,,,益讯国际贸易(洛阳)有限公司-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",Skincare,,T3,7495703717672618535,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001724,Dr.Healthy Lab,LD01730,,AM招商推进,,悦投,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,Skincare,,T3,7494089338110313576,快消生活,chenhaihua,AM,,王宁,/,/,广州,,是,5-已入驻,"极乐鸟-欧洲沟通, 极乐鸟生物科技->UK直邮",,,,,,7494252057448187368,7494252057448187368,,,,,,,已填写,2025-12-04,2.hipo,1,0,0,,T0,2025-11-13,2.hipo,1,1,1,51958.81,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001725,SKYMI.Official,LD01731,,,,BELTION LEATHER LIMITED-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001726,Drve store 1,LD01732,,,,CHALONESE（聚合）,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001727,COLORKEY LUMINOUS VIỆT NAM,LD01733,,,,colorkey,Beauty&FMCG,HIPO靶向商家,CNOB,"Health, Beauty & Personal Care",/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001728,Cyeecare MY,LD01734,,,,cyeecare,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001729,CyeecareSolution,LD01735,,,,cyeecare-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001730,Hunfsow Skincare VN,LD01736,,,,CÔNG TY TNHH MTV GRACILARIA,Beauty&FMCG,HIPO靶向商家,CNOB,"Health, Beauty & Personal Care",/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
