LD_007511,GarveeTech Store,LD07561,,AM招商推进,,/,Home&Living,/,/,Sports & Outdoor,Ball Sports,,T3,7495199954386389698,汽摩工具,shenrongfeng,AM,,周羽中 Ray,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007512,Sheep Baby,LD07562,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,马思宇,T3,7495822591395203088,运动潮奢,liziyin.plumlee,AM,,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007513,OUTRL,LD07563,,,,/,Fashion,/,/,#N/A,/,,#N/A,7494392479260771777,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007514,Hooys,LD07564,,AM招商推进,,/,3C,/,/,Phones & Electronics,Universal Accessories,,T3,7494535191667115116,3C,yangyuhui,AM,,胡思倩,/,/,/,,是,3-商家有意愿,,,明年秋天入驻,,image.png,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007515,Garvee Homestead,LD07565,,AM招商推进,,/,Home&Living,/,/,Sports & Outdoor,Building Supplies,,T3,7494467699624281534,汽摩工具,shenrongfeng,AM,,周羽中 Ray,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007516,AirroboOfficial,LD07566,,,,/,Home&Living,/,/,#N/A,/,,#N/A,7495857691642923265,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007517,Dragon Kiln Ware,LD07567,,AM招商推进,,/,Home&Living,/,/,Collectibles,Sports Collectibles,,T4,7494647560202585185,运动潮奢,yanbailu,AM,,周洋,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007518,Makryn Tools,LD07568,,AM招商推进,,/,Beauty&FMCG,/,/,Tools & Hardware,Hand Tools,,T3,7494516052233717062,快消生活,haoyemeng.ian,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007519,Jollychefus,LD07569,,,,/,Home&Living,/,/,#N/A,/,,#N/A,7494459062187230847,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007520,American Style,LD07570,,,,/,Fashion,/,/,#N/A,/,,#N/A,7494365143821747772,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
