LD_007981,MAXSHOT,LD08031,,,,/,Fashion,/,/,Sports & Outdoor,Fitness,,T3,7496300190801168655,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007982,Karat Jewelry,LD08032,,,,/,/,/,/,Fashion Accessories,/,,T3,7494275503613707819,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007983,KUKTO,LD08033,,,,/,Fashion,/,/,Shoes,/,,T3,7495552922948372772,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007984,ShineSpark,LD08034,必招 7 月,,,/,Beauty&FMCG,/,/,Toys & Hobbies,Classic & Novelty Toys,,T3,7494467062676227504,快消生活,wangshu.jasmine,BD,张志强,,/,/,/,,是,5-已入驻,,,,,,,7494761749769848546,7494761749769848546,,,,,,7494761749769848546,已填写,,,,,,,,2026-07-06,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_007985,KIWI Clean Tools,LD08035,,,,/,/,/,/,Home Supplies,/,,T3,7494189389411157701,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007986,JAXN,LD08036,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7494262551350838588,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007987,ExtreLife store,LD08037,必招 7 月,,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7495787628218321234,3C,huanghaoxuan.123,BD,李泽,,/,/,/,,是,4-入驻中,,直邮开店,,,,,,7494790030275085490,,,,,,,已填写,,,,,,,,2026-07-21,3.other,1,0,,,T0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1
LD_007988,VireoTrail,LD08038,,,,/,Home&Living,/,/,Home Improvement,/,,T3,7496287600354822578,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007989,OutvitaPro,LD08039,,,,/,Home&Living,/,/,Furniture,/,,T3,7494489551271068947,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007990,ClassicHollow,LD08040,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7494179277961463279,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
