LD_007901,LuckyTreasure Bazaar,LD07951,,,,/,/,/,/,Home Supplies,/,,T3,7496167112924236144,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007902,PSLEE,LD07952,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7496229169057859879,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007903,AAA Furniture,LD07953,,,,/,Home&Living,/,/,Furniture,/,,T3,7496042223984282413,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007904,LEXI-US,LD07954,,,,/,Fashion,/,/,Sports & Outdoor,/,,T3,7496231638836480525,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494297078510421088,,,,,,,7494297078510421088,已填写,2025-12-07,2.hipo,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_007905,Reasonable price,LD07955,,,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T4,7496013254653348679,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007906,Yimoon,LD07956,,,fashion自补,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,,T4,7495729161181432827,服饰服配,NULL,,,谢冰沁Bibi,安徽计河，已拉群对接,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007907,SHOKZ,LD07957,必招 7 月,,,/,3C,/,/,Phones & Electronics,Audio & Video,,T5,7495912982969682522,3C,wanglizhen.321,BD,李泽,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007908,Basecamp Collective,LD07958,,,,/,/,/,/,Home Supplies,/,,T3,7496219538728717303,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007909,Niuwork Pro,LD07959,,,,/,Home&Living,/,/,Tools & Hardware,/,,T3,7494451779382642219,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007910,Plus Size Bath Skirt,LD07960,,,,/,/,/,/,Home Supplies,/,,T3,7496243257720474479,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
