LD_002451,HurryHarry,LD02468,,,,厦门显荣网络服务有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,Lifestyle 2,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002452,petwellshop,LD02469,,,,厦门毅尚电子商务有限公司-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,Grocery,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002453,Lesure Pet,LD02470,,,,申骏贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,NULL,,T0,7495650560777881962,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002454,Rememberme,LD02471,,,,深圳格莫电子商务有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Festive & Party Supplies,,T2,7495748616046282887,日用家纺,zhangshiwei.92,,,,/,/,/,,是,5-已入驻,,,,,,,,7495748616046282887,,,,,,7495748616046282887,已填写,,,,,,,,2024-05-14,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002455,Gefanly specialty store,LD02472,,,,深圳海妈优选科技有限公司,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,NULL,,T0,7494200180691207290,育商,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002456,SICOTAS,LD02473,,AM招商推进,,深圳久麦科技有限公司,Home&Living,HIPO靶向商家,CNOB,Furniture,Indoor Furniture,,T4,7495563376623520190,家具家装,cainan,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002457,COLODAY,LD02474,,,,深圳市大黄蜂视觉有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7496209505198705018,7496209505198705018,,,,,,7496209505198705018,已填写,2025-11-12,2.hipo,1,1,1,0.00,T0,2025-06-23,1.skm,1,1,1,333.73,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002458,Sikaic Furniture US,LD02475,,,,深圳市利可科技有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,T3,7495764391123651277,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496115177531345788,,,,,,,7496115177531345788,已填写,2025-03-11,1.skm,1,1,1,37668.47,T3,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002459,ALLTOU Malaysia,LD02476,,,,深圳市梦美福科技有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002460,ZVRPET US,LD02477,,,,深圳市铭哲汇洋科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Dog & Cat Accessories,,T2,7496241433680841120,快消生活,huangyaqian.echo,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
