LD_001131,oasismile,LD01133,,,,/,Beauty&FMCG,战略重点商家,A. 知名品牌｜Recognized Brands,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001132,INMOZATA,LD01134,,,,广州聪霖贸易有限公司,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001133,meland,LD01135,,,,/,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Kids' Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001134,GPD,LD01136,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,NULL,,T0,7494341690251838832,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001135,m j comfy life,LD01137,,,,/,Beauty&FMCG,战略重点商家,A. 知名品牌｜Recognized Brands,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001136,g2plus,LD01138,,,,深圳市亚新拓科技有限公司,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Computers & Office Equipment,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001137,joyreal,LD01139,,,,广州乐韬科技有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Toys & Hobbies,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496160320531106542,,,,,,,7496160320531106542,已填写,2025-04-26,1.skm,1,1,1,1513.88,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001138,aigostar,LD01140,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001139,iegeek,LD01141,,,,东莞市越黎锦电子商务有限公司,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001140,vannect,LD01142,,,,/,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
