LD_002591,Roseycc,LD02615,,,,济南微香韵商贸有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Women's Underwear,,T2,7496040289216465484,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002592,MFVIM,LD02616,,,,临颍县中伊电子商务商行(个体工商户),Fashion,HIPO靶向商家,CNOB,Fashion,/,,#N/A,7496258928625682774,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496258928625682774,,,,,,7496258928625682774,已填写,,,,,,,,2025-07-04,2.hipo,1,1,1,37158.54,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002593,Wowangel Hair,LD02617,,,,青岛创盈汇进出口有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Hair Extensions & Wigs,,T4,7496230511088732775,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002594,SculptTouch,LD02618,,,,深圳市博科思智能股份有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,#N/A,8647777566105836472,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7495804403407621048,,,,,,7495804403407621048,已填写,,,,,,,,2025-10-17,2.hipo,1,1,1,776.92,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002595,MAELREG GOLF,LD02620,,,,香港亞諾工貿有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,#N/A,8647852964457257041,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7495515529953314897,7495515529953314897,,,,,,7495515529953314897,已填写,2026-06-11,2.hipo,1,1,1,,T0,2025-10-29,2.hipo,1,1,1,31514.11,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002596,Vogue Visions UK,LD02622,,,,深圳盈泰科科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Women's Suits & Sets,,T1,7495401283463448867,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002597,Comfort Room,LD02623,,,,温州翎鸿商贸有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,NULL,,T0,7495329407948196528,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002598,DWY WIGS OFFICIAL,LD02624,,,,义乌市火地岛贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Hair Extensions & Wigs,,T4,7496049625243748939,服饰服配,weiyue.0123,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,7496132305450993919,7496132305450993919,,,,,,7496132305450993919,已填写,2025-03-30,2.hipo,1,1,1,3971.38,T1,2025-03-30,2.hipo,1,1,1,39243.14,T3,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002599,GameSir Official US,LD02626,,,,GameSir（聚合）,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002600,RoborockUS,LD02627,,AM招商推进,,石头科技,3C,HIPO靶向商家,CNOB,Household Appliances,Home Appliances,,T4,7495314483238570332,3C,zhangwenli.168,AM,,郑羽伶,/,/,/,,否,5-已入驻,,,,,image.png,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
