LD_005731,Lin Home LL,LD05773,,AM招商推进,,安徽柒优优网络科技有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Kitchen Utensils & Gadgets,,T3,7496015521002195186,日用家纺,lishiyun.607,AM,,刘雨欣,/,/,/,,是,6-拒绝入驻,,,,,image.png,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005732,Prime Pick US,LD05774,,,,RUIFENG INFORMATION TECH LIMITED,Home&Living,HIPO靶向商家,美区T4,Collectibles,NULL,,T0,7494298727359743582,运动潮奢,hsinyi.7,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005733,VivoNu shop,LD05775,,,,MANNI GAO LLC,Beauty&FMCG,HIPO靶向商家,美区T4,Health,/,,#N/A,8648099819409086583,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005734,Voyageg,LD05776,,,,福州高新区枫禾电子商务有限公司,Fashion,HIPO靶向商家,美区T4,Home Supplies,Fitness,,T2,7496164347436567193,运动潮奢,chenwei.003,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005735,Cheetah Beauty Hair Shop,LD05777,,,,许昌华彩发制品有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,/,,#N/A,7496208455541492524,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496231674687949136,,,,,,,7496231674687949136,已填写,2025-06-14,3.other,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_005736,SUSTEAS,LD05778,,,,SUSTEAS LTD,Home&Living,HIPO靶向商家,美区T4,Kitchenware,/,,#N/A,7495889356959746762,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005737,Pillow Puff,LD05779,,,,营口清风与洋商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,NULL,,T0,7494118387620807757,服饰服配,wangrui.wil,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005738,Vvinca,LD05780,,AM招商推进,,GAIA E-COMMERCE INC,Home&Living,HIPO靶向商家,美区T4,Sports & Outdoor,Water Sports,,T4,7496032743847201527,运动潮奢,wanwan.888,AM,,周洋,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_005739,Butterfly Lashes,LD05781,,,,CLOVINE LIMITED,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,/,,#N/A,7496064367399241852,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005740,Best Toolkit 22,LD05782,必招 7 月,,,KY TRADING INC,Home&Living,HIPO靶向商家,美区T4,Tools & Hardware,Hand Tools,,T3,7495963467395598782,汽摩工具,xunan.97520,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7494600644361684699,7494600644361684699,,,,,,7494600644361684699,已填写,2026-04-21,3.other,1,1,1,19984.55,T2,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
