LD_006121,REDTIGER,LD06169,,,,REDTIGER,Home&Living,/,/,#N/A,Car Electronics,,T4,7495295002346227790,汽摩工具,liyanqiu.tk,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,7494542225985996081,,,,,,7494542225985996081,已填写,,,,,,,,2026-03-30,1.skm,1,1,1,18060.90,T2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006122,威海杰诚贸易有限公司,LD06170,,,,威海杰诚贸易有限公司,Home&Living,HIPO靶向商家,少量特批商家,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006123,Rooblinos,LD06171,,,,Rooblinos,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,Leisure & Outdoor Recreation Equipment,,T0,7496117681248700833,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006124,凤生公司,LD06172,,,,凤生公司,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006125,南平市建阳区盛秦文化创意有限公司,LD06173,,,,南平市建阳区盛秦文化创意有限公司,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006126,南平市建阳区翁家陶瓷文化有限公司,LD06174,,,,南平市建阳区翁家陶瓷文化有限公司,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006127,杭州电联遥世科技有限公司,LD06175,,,,杭州电联遥世科技有限公司,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006128,小米、联想、大疆、Nothing、三星、苹果等,LD06176,必招 7 月,,,长宏,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,ANDY 电商部一把手,/,深圳华强北,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006129,3C全品牌,LD06177,必招 7 月,,,苏宁香港,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,Holden 业务负责人，美国法人,/,南京,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006130,飞利浦、罗技、AOC、海盗船、松下等,LD06178,必招 7 月,,,怡亚通,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,侯总 VP,/,深圳前海,,是,5-已入驻,,,,,,,7496136081488579204,7496136081488579204,,,,,,7496136081488579204,已填写,,,,,,,,2026-07-14,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
