LD_006721,upward.,LD06771,,,,/,Fashion,/,/,#N/A,/,,T3,7494115863056975147,服饰服配,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006722,MoonForest,LD06772,,AM招商推进,,/,Beauty&FMCG,/,/,Pet Supplies,Dog & Cat Litter,,T3,7496121185931593921,快消生活,haoyemeng.ian,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006723,Jessie's Wig,LD06773,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,,T3,7495182648963402283,服饰服配,zhoujie.jessie,AM,,郭晓彤,@郭晓彤,/,/,,是,5-已入驻,,,,,,,7494238878701421834,7494238878701421834,,,,,,,已填写,,3.other,0,0,0,,T0,2025-11-06,3.other,1,1,1,33054.72,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006724,ANPABO,LD06774,,AM招商推进,,/,Beauty&FMCG,/,/,Toys & Hobbies,Sports & Outdoor Play,,T3,7496018547460573737,快消生活,wangshu.jasmine,AM,,欧阳嘉桦,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006725,Hosmau,LD06775,,AM招商推进,,/,Home&Living,/,/,Tools & Hardware,Hand Tools,,T3,7495954179166014424,汽摩工具,chenchen.cccc,AM,,周羽中 Ray,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006726,TheChicCloset,LD06776,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,,T3,7496085120534219667,服饰服配,zhuyouping,AM,,谢冰沁Bibi,布懂集团,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006727,love home-based,LD06777,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Clothes Accessories,,T3,7496016072979417458,服饰服配,wangrui.wil,AM,,郭晓彤,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006728,JoyprotynOfficial,LD06778,,AM招商推进,,/,Beauty&FMCG,/,/,Pet Supplies,Farm Animal & Poultry Supplies,,T3,7496013268371606503,快消生活,haoyemeng.ian,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006729,ModMood Shop,LD06779,,AM招商推进,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T3,7496012383271750438,家具家装,pengqi.lovework,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006730,ZYKR Auto Care,LD06780,,AM招商推进,,/,Home&Living,/,/,Automotive & Motorcycle,Car Washing & Maintenance,,T3,7496302251184196221,汽摩工具,duqianwen.1,AM,,王妙辰,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
