LD_006111,常州9号电动车,LD06159,,,,常州9号电动车,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006112,airdog,LD06160,,,,airdog,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006113,塔斯队长,LD06161,,,,塔斯队长,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006114,梵芙尼,LD06162,,,,梵芙尼,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006115,星商,LD06163,,,,星商,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006116,巴蒲金贸易有限公司7494393936210658931,LD06164,,,,巴蒲金贸易有限公司7494393936210658931,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006117,Homall Direct,LD06165,,,,Homall Direct,Home&Living,/,/,#N/A,Outdoor Furniture,,T2,7495687087276919434,家具家装,wangsong.0925,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006118,Furmax,LD06166,,,,Furmax,Home&Living,/,/,#N/A,Indoor Furniture,,T3,7495687355472644428,家具家装,wangsong.0925,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006119,Nexillumiccu,LD06167,必招 7 月,,,Nexillumiccu,Home&Living,HIPO靶向商家,US T3+,Home Improvement,Lights & Lighting,,T1,7495153690809174825,家具家装,wuqifeng,BD,江家徵,,老板 - 李大维,@李大维,深圳,,是,5-已入驻,,,,,,,7494769641911060236,7494769641911060236,,,,,,7494769641911060236,已填写,2026-07-12,3.other,1,1,,,T0,,,,,,,,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
LD_006120,A century of cleaning products,LD06168,,,,A century of cleaning products,/,/,/,#N/A,NULL,,T0,8647422201219619754,育商,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
