LD_002141,WM-Bras,LD02156,,AM招商推进,,深圳市蓝乐思科技有限公司,Fashion,HIPO靶向商家,CNOB,Womenswear & Underwear,Women's Underwear,樊晨,T3,7496103541670316648,服饰服配,zhangmeng.0408,AM,,Millie Cheng,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002142,LICARR Official TH,LD02157,,,,深圳市立卡贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002143,Koko Stagner,LD02158,,,,深圳市龙岗区曼先威贸易商行,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002144,TacticalTide Wallets,LD02159,,AM招商推进,fashion自补,深圳市欧擘科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,樊晨,T4,7496189225987377662,运动潮奢,wuhao.howie,AM,,张玲,已单独加商家飞书，暂无欧洲拓展计划,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,7494287040032245698,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002145,VitalHerb Life,LD02160,,,,深圳市秦迈实业有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care and Lifestyle,NULL,,NULL,8656012568440181030,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002146,sunhouselily,LD02161,,,,深圳市太阳屋国际贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002147,COWEC YCAKI,LD02162,,,,深圳市惟逸科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002148,HOVSIYLA,LD02163,,AM招商推进,,深圳市彧辰贸易有限公司,Fashion,HIPO靶向商家,CNOB,Sports & Outdoor,Sport & Outdoor Clothing,黄嘉伟,T4,7496159789225118504,运动潮奢,lishachoo,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002149,Therova,LD02164,,,,深圳市臻享智创科技有限公司,Home&Living,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Camping & Hiking,,T1,7494113978615367565,运动潮奢,qieyixiao,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002150,CherieBra Shop2,LD02165,,AM招商推进,,深圳市卓锐电子商务有限公司,Fashion,HIPO靶向商家,CNOB,Womenswear & Underwear,Women's Underwear,肖娜,T4,7496238583408331433,服饰服配,youwenhao.ywh,AM,,Millie Cheng,CNGBCBNMQLGC,/,/,,是,5-已入驻,,,,,,,,7496238583408331433,,,,,,,已填写,,,,,,,,2025-11-12,2.hipo,1,1,1,24569.93,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
