LD_002051,CAMEL CROWN Outdoor TH,LD02065,,,,CAMEL,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002052,Cranberry Mall,LD02066,,,,Cranberry-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002053,SHE-Fashion PH,LD02067,,,,广州越有电子商贸有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002054,AgeRose&Lingerie,LD02068,,,,Hong Kong Ark Mobile Technology Limited,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002055,MEIN Indonesia,LD02069,,,,MUAFF TECHNOLOGY HK LIMITED-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002056,Panda eyes,LD02070,,,,PANDA EYES SDN. BHD.,Fashion,HIPO靶向商家,CNOB,Fashion,NULL,,NULL,7494288543409800906,育商,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002057,POSE PH,LD02071,,,,POSE,Fashion,HIPO靶向商家,CNOB,Fashion Non-Apparel,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002058,Super de Ropa,LD02072,,,,super de ropa,Fashion,HIPO靶向商家,CNOB,Fashion,Women's Tops,,NULL,7496052849305487962,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002059,JNN FASHION SHOP,LD02073,,,,TRADING EXPERT GLOBAL LIMITED,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002060,NewBella Fashion,LD02074,,,,百丽（聚合）,Fashion,HIPO靶向商家,CNOB,Fashion,Women's Bags,,T4,7495376740294363258,运动潮奢,wuhao.howie,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,7494173494101246976,,,,,,7494173494101246976,已填写,,,,,,,,2025-09-28,3.other,1,1,1,454.88,T1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
