LD_006181,TGear,LD06229,必招 7 月,,,/,Fashion,/,/,Fashion Accessories,Fashion Watches & Accessories,,T3,7496064121215945547,服饰服配,zhoujie.jessie,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006182,Lulala Luxury Like bag,LD06230,必招 7 月,,,/,Fashion,/,/,Pre-Owned,Pre-Loved Luggage & Bags,,T2,7494470338799764982,运动潮奢,tangmengze,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006183,ony dppuer o,LD06231,必招 7 月,,,/,3C,/,/,NULL,NULL,,T0,7494467917630637141,育商,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006184,POPOD Factory,LD06232,必招 7 月,,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,,T2,7496094644134185094,服饰服配,jiangshan.amber,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7496094644134185094,7496094644134185094,,,,,,7496094644134185094,已填写,,,,,,,,2026-07-09,2.hipo,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
LD_006185,PopCustom,LD06233,必招 7 月,,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,,T2,7496100377441830972,服饰服配,jiangshan.amber,BD,赵月晨,,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006186,Reloved Luxury,LD06234,必招 7 月,,,/,Fashion,/,/,NULL,NULL,,T1,7494530241881998356,运动潮奢,tangmengze,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006187,Everloved Luxe,LD06235,必招 7 月,,,/,Fashion,/,/,Pre-Owned,Pre-Loved Luggage & Bags,,T3,7494275861791016788,运动潮奢,hsinyi.7,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006188,ZYLALA Jewelry,LD06236,必招 7 月,,,/,Fashion,/,/,Jewelry Accessories & Derivatives,Artificial Gemstones,,T2,7495336565186333602,育商,xuhanwen.19,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7496203400670251442,7496203400670251442,,,,,,7496203400670251442,已填写,2025-05-23,3.other,1,0,0,,T0,2025-05-27,3.other,1,1,1,475.80,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006189,Riteslily,LD06237,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,Costume Jewelry & Accessories,,T3,7494129594803323916,服饰服配,wangrui.wil,AM/BD,金慧婷,郭晓彤,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006190,Chic Hidden Gems,LD06238,必招 7 月,,,/,Fashion,/,/,NULL,NULL,,T0,7494437797334582942,NULL,NULL,BD,李京达,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
