LD_000151,VUSIGN US,LD00151,必招 6 月,,,/,3C,HIPO靶向商家,TTS US T3+ 级商家,#N/A,Garden Tools,,T2,7496130537880848589,3C,wangzhenwei.1,BD,李泽,,曹彭彭-TTS项目对接,/,未回复，总部在宁波,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000152,Cadothy US Official,LD00152,必招 6 月,,,/,3C,HIPO靶向商家,TTS US T3+ 级商家,#N/A,Cameras & Photography,,T1,7496151352616455087,3C,wangzhenwei.1,BD,李泽,,Woods Zhang-TTS负责人,@Woods Zhang,深圳,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000153,O Y S,LD00153,必招 6 月,AM招商推进,fashion自补,FISHSTICKS ECONOMIC LLC,Fashion,HIPO靶向商家,美区T5,Sports & Outdoor,Sport & Outdoor Clothing,史悠扬,T5,7495443990254291557,服饰服配,zhaoyingyi.zz,AM/BD,赵月晨,Millie Cheng,与OQQ同集团，暂未入驻该品牌,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,7496103533094669219,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000154,Uaneo,LD00154,必招 6 月,AM招商推进,fashion自补,CXCGO LIMITED,Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,Women's Tops,崔媚君,T5,7495469081498126645,服饰服配,mayinxuan.127,AM/BD,赵月晨,Millie Cheng,安徽上岩集团，旗下2个品牌已入驻,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000155,SCUSTY,LD00155,必招 6 月,AM招商推进,fashion自补,CXCGO LIMITED,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,崔媚君,T5,7495544445937420531,服饰服配,mayinxuan.127,AM/BD,赵月晨,Millie Cheng,安徽上岩集团，旗下2个品牌已入驻,/,/,,是,5-已入驻,,,,,,,,7496114889866447052,,,,,,,已填写,,,,,,,,2025-03-11,2.hipo,1,1,1,115659.74,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000156,Imily Bela,LD00156,必招 6 月,AM招商推进,fashion自补,杭州力比多服饰有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,王蓝婧,T5,7495434542444350254,服饰服配,tongjing.1019,AM/BD,赵月晨,谢冰沁Bibi,子不语,/,/,,是,5-已入驻,,,,,,,7496188044472322956,,,,,,7496188044472322956,"7496124109711706761,7496188044472322956",已填写,2025-05-28,1.skm,1,1,1,9580.16,T2,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000157,WIHOLL FASHION,LD00157,必招 6 月,,fashion自补,BENLAI INTERNATIONAL(HONG KONG)LIMITED,Fashion,HIPO靶向商家,美区T4,#N/A,Women's Tops,,T5,7496046066432575862,服饰服配,jiangshan.amber,BD,赵月晨,谢冰沁Bibi,"Winson，TikTok板块负责人。
联系方式：WinsonLoong_",/,运营广州、老板厦门,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000158,Ninth Art Men's Clothing,LD00158,必招 6 月,AM招商推进,fashion自补,泉州市丰泽区奕驰贸易有限公司,Fashion,HIPO靶向商家,美区T5,Menswear & Underwear,Men's Bottoms,肖一凡,T5,7494111667798968060,服饰服配,shenxueyan,AM/BD,赵月晨,罗才鑫,晓彤统一在,/,/,,是,5-已入驻,,,,,,,,7494694023875233289,,,,,,7494694023875233289,已填写,,,,,,,,2026-06-05,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_000159,SHEWIN,LD00159,必招 6 月,AM招商推进,fashion自补,"DLM INTERNATIONAL TRADING CO., LIMITED",Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,吕君丽,T4,7495804002442709917,服饰服配,jiangshan.amber,AM/BD,赵月晨,谢冰沁Bibi,入驻UK 被清退,/,/,,是,5-已入驻,,,,,,,,7494510362605947452,,,,,,"7495976595440765353,7494510362605947452",已填写,,,,,,,,2022-03-10,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_000160,USBoutique Chic,LD00160,必招 6 月,AM招商推进,fashion自补,泉州鲤城区伊卓网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Suits & Sets,钟嘉桓,T5,7496236819256805698,服饰服配,jiangshan.amber,AM/BD,赵月晨,谢冰沁Bibi,更换主体后入驻，飞书群内沟通,/,/,,是,5-已入驻,,,,,,,,7496236819256805698,,,,,,"7494083458750842090,7496162002664459189",已填写,,,,,,,,2026-07-06,2.hipo,1,1,,548.26,T1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0
