LD_002711,SHEGLAM HAIR US,LD02740,,,,NOVA MUSE TRADING LIMITED,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Sport & Outdoor Clothing,,T4,8647375388285245859,NULL,NULL,BD,赵月晨,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002712,BEST SELEAD INC,LD02741,必招 7 月,,,BEST SELEAD INC,Home&Living,HIPO靶向商家,美区T4,Tools & Hardware,Hand Tools,,T4,7495923687824722492,汽摩工具,xuebaoping,BD,江家徵,,老板 - 熊志齐,@熊志齐,福州,,是,2-已触达/沟通中,,电话沟通过，人手不足，需要实地拜访,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002713,Huloo Sleep,LD02742,,,,"Hangzhouwucui Technology Co., Ltd",Beauty&FMCG,HIPO靶向商家,美区T4,Baby & Maternity,/,,#N/A,7496315310940326109,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7494082528216582139,,,,,,7494082528216582139,已填写,,,,,,,,2021-07-22,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002714,WEWEFDE,LD02743,,,,深圳市克思照明科技有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Home Organizers,,T3,7496060941569460322,日用家纺,chenyufei.0628,BD,李泽,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002715,Mr IRONSTONE,LD02744,,,,深圳慕森家居科技有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,/,,T4,7495613752437345190,家具家装,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,7494299238144115834,,,,,,,7494299238144115834,已填写,2025-12-10,2.hipo,1,1,1,,T0,,,,,,,,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002716,SQTT,LD02745,,,,厦门杭吾文化传媒有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,NULL,,T0,7494092800308905057,汽摩工具,xunan.97520,,,,/,/,/,,是,5-已入驻,,,,,,,,7494367079207372471,,,,,,7494367079207372471,已填写,,,,,,,,2026-01-15,2.hipo,0,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002717,FurnitureFinds Hub,LD02746,,,,浦江厚荣电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T3,7495401129881537445,家具家装,zhulong.zhu,BD,赵月晨,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002718,fuyonlee,LD02748,,,,龙岩永定福永乐贸易有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Home Care Supplies,,T2,7495768028948302732,日用家纺,lirang.131,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,,7494416258542437852,,,,,,7494416258542437852,已填写,,,,,,,,2026-02-11,2.hipo,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002719,JoyToyee,LD02749,,,,广州钛宇科技有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Toys & Hobbies,Sports & Outdoor Play,,T2,7495754675169102321,快消生活,wangzhen.chris,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002720,Embercraft,LD02750,,AM招商推进,,武汉市霆洁索百货有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Clothes Accessories,,T4,7494127134150461047,服饰服配,wangrui.wil,AM,,郭晓彤,公牛,/,/,,是,5-已入驻,,,,,,,,7494753888169133150,,,,,,,已填写,,,,,,,,2026-07-02,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
