LD_002531,VibeCart Bloom,LD02549,,,,香港微笑鯊貿易有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,Feminine Care,,T1,7494089112190027165,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002532,Instant Health Station,LD02550,,,,西咸新区沣东新城凡卿闻百货店(个体工商户),Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,Nutrition & Wellness,,T2,7496225678149323363,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002533,Exquisite Studio1,LD02551,,,,义乌市外匠贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,Skincare,,T3,7496137088480414321,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002534,RevitaPlus US,LD02552,,,,聲光行貿易有限公司,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T4,7495123677484321722,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002535,CHILLAB THAILAND,LD02553,,,,CHILLAB（聚合）,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002536,Roopy Fragrance Lab,LD02554,,,,ROOPY AROMA LIMITED,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002537,O'CHEAL Cosmetics,LD02555,,,,Scorp.Inc,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,NULL,,T1,7494416023437935748,新开国,chenqing.0918,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002538,HIILEATHY SHOP,LD02556,必招 7 月,,,厦门珹之渼跨境贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Health,Nutrition & Wellness,,T3,7496305807927445563,快消生活,qilinyou,BD,江家徵,,老板 - 张逸飞,@张逸飞,/,,是,5-已入驻,,,,,,,7496305807927445563,7496305807927445563,,,,,,7496305807927445563,已填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002539,Auyol,LD02558,,,,扬州润泉企业管理有限公司-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,NULL,,T0,7496163167665555701,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002540,Raybee Furniture,LD02559,,,,Raybee（聚合）,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
