LD_007831,Shelvora,LD07881,,AM招商推进,,/,Home&Living,/,/,Kitchenware,Home Care Supplies,,T5,7494092770958804242,日用家纺,yangli.lee,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007832,NIKICAM LIMITED,LD07882,,,,尼克數碼有限公司,Home&Living,/,/,/,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007833,Yujo Power,LD07883,,,,广州源聚电子商务有限公司,Home&Living,/,/,/,/,,/,NULL,育商,NULL,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007834,PearluryJewel,LD07884,,AM招商推进,fashion自补,/,Fashion,/,/,Jewelry Accessories & Derivatives,/,,T3,7495820725215070430,育商,NULL,AM,,郭晓彤,/,/,/,,否,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_007835,Giratree USA,LD07885,,,,/,Home&Living,/,/,Furniture,/,,T3,7495172485259430047,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007836,Ystarup,LD07886,,,,/,Home&Living,/,/,Home Supplies,/,,T3,7496199979822779172,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007837,kitchen Tools,LD07887,,,,/,/,/,/,Home Supplies,/,,T3,7496287946652093218,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007838,freedealingmall,LD07888,,,,/,Home&Living,/,/,Automotive & Motorcycle,Car Interior Accessories,,T3,7495840185963678455,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007839,CRG TOOL,LD07889,,,,/,Home&Living,/,/,Tools & Hardware,/,,T3,7496155628996954978,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007840,Ragkun Brand store,LD07890,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7495759703515236477,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
