LD_002811,Bling Hair Fashion,LD02841,,,,许昌佳瑞发制品有限公司,Fashion,HIPO靶向商家,美区T5,Fashion Accessories,Hair Extensions & Wigs,,T5,7495378221968755457,服饰服配,zhoujie.jessie,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,7496103482077448900,,,,,,7496103482077448900,已填写,,,,,,,,2025-03-03,2.hipo,1,1,1,4974.57,T2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002812,PYNAREL,LD02842,,,,HONG KONG XUANQING LIMITED,3C,HIPO靶向商家,美区T5,Phones & Electronics,/,,T5,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7494736826122470745,7494736826122470745,,,,,,7494736826122470745,已填写,2026-06-24,2.hipo,1,1,1,194.25,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002813,TYMO-BEAUTY,LD02843,,,,TYMO BEAUTY INC.,Beauty&FMCG,HIPO靶向商家,美区T5,Beauty & Personal Care,/,,#N/A,7496019364959325021,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496305473794575234,,,,,,,7496305473794575234,已填写,2025-08-01,1.skm,1,1,1,34247.24,T3,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002814,Erligpowht,LD02844,,,,XJOSE LLC,3C,HIPO靶向商家,美区T5,Phones & Electronics,/,,T5,NULL,NULL,NULL,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,,7495421065388329914,,,,,,7495421065388329914,已填写,,,,,,,,2024-01-08,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002815,FEPPO-Home,LD02845,,,,深圳市理悦科技有限公司,3C,HIPO靶向商家,美区T5,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002816,EOEOTWO,LD02846,,,,深圳市明德思伦科技有限公司,Fashion,HIPO靶向商家,美区T5,Sports & Outdoor,Electric Vehicles,,T2,7494329596210152452,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002817,VEVOR Store,LD02847,必招 7 月,,,VEVOR STORE INC,Home&Living,HIPO靶向商家,美区T5,Tools & Hardware,Hardware,,T5,7495303663644608686,汽摩工具,duqianwen.1,BD,赵月晨,Faye Liu,/,/,/,,是,5-已入驻,,,,,,,7496180467096325108,7496180467096325108,,,,,,7496180467096325108,已填写,,,,,,,,2025-05-20,1.skm,1,1,1,43961.60,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002818,DreameUS,LD02848,,,,Dreame International (HongKong) Limited,3C,HIPO靶向商家,美区T5,Household Appliances,/,,T5,7496180685249219475,NULL,NULL,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496180685249219475,,,,,,,7496180685249219475,已填写,2025-05-27,1.skm,1,1,1,2040381.72,T5,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002819,AVIDLOVE Boutique,LD02849,,,,HONG KONG RONGCHANG TRADING LIMITED,Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,/,,T5,7496131433237744514,NULL,NULL,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496131433237744514,7496131433237744514,,,,,,7496131433237744514,已填写,2025-04-07,1.skm,1,1,1,958.86,T1,2025-03-28,2.hipo,1,1,1,32324.71,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002820,Tool Party,LD02850,,,,合肥贝晋信息科技有限公司,Home&Living,HIPO靶向商家,美区T5,Toys & Hobbies,NULL,,T0,7495813646412908767,快消生活,liushanyu.0213,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
