LD_006231,The American Spirit,LD06279,必招 7 月,,,/,Home&Living,/,/,#N/A,NULL,,T2,7494195995276248368,育商,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006232,edefs Shop,LD06280,必招 7 月,,,/,Fashion,/,/,#N/A,Costume Jewelry & Accessories,,T1,7494159187735053485,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006233,Twist & Time,LD06281,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,Fashion Watches & Accessories,彭舒欣,T3,7494178139211663271,服饰服配,liyaoyao.y,AM/BD,金慧婷,郭晓彤,飞书群,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006234,Zoey Porcelain,LD06282,必招 7 月,,,/,Home&Living,/,/,#N/A,Cultural Items,,T2,7494116008548206061,日用家纺,zhouxinrui.zz,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006235,GlowWorm,LD06283,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T2,7494591154062723010,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006236,TIANMUTeawarestudios,LD06284,必招 7 月,,,/,Fashion,/,/,Collectibles,Entertainment,,T3,7496268323597945028,运动潮奢,hsinyi.7,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006237,Quirixs,LD06285,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T0,7494591216378415033,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006238,LaLa Toy 2,LD06286,必招 7 月,,,/,Home&Living,/,/,#N/A,NULL,,T2,7496187411122719720,育商,xuhanwen.19,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006239,STEEL WILL,LD06287,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T2,7496098445189482679,育商,NULL,BD,李京达,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006240,Your Luxury,LD06288,必招 7 月,,,/,Fashion,/,/,Pre-Owned,Pre-Loved Luggage & Bags,,T3,7494605287597048849,运动潮奢,hsinyi.7,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
