LD_002381,PhiVillaUS,LD02398,,,,Phi Villa（聚合）,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002382,คาคาคา โฮม,LD02399,,,,义乌市筱芙电子商务商行(个体工商户),Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002383,SmartDevil.PH,LD02400,,,,SMARTDEVIL DIGITAL TECHNOLOGYO LIMITED,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002384,Sweetcrispy S,LD02401,,,,Sweet furniture（聚合）,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Indoor Furniture,,T5,7495957905333913613,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002385,Unee by Mission AI,LD02402,,,,unee,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Dolls & Stuffed Toys,,T1,7494169643050436389,快消生活,wanghongbo,BD,李泽,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002386,Ufist-sweet dream,LD02403,,,,宝立星(杭州)国际贸易有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Bedding and Linens,,T2,7496270068226951457,日用家纺,johanna.jiao,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002387,KITEXPERT,LD02404,,,,蹦跶（聚合）,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Kitchen Utensils & Gadgets,,T2,7495202989687868221,日用家纺,chenyufei.0628,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002388,Homeblind curtain,LD02405,,,,成都贯寄瑶商贸有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002389,LAHOME DECOR,LD02406,,,,成都墨钰科技有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002390,KEELAT Power Tools,LD02407,,,,迪達貿易有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
