LD_005811,Ommig,LD05853,必招 7 月,AM招商推进,fashion自补,APAFIS LIMITED,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,樊晨,T4,7495787732080691770,服饰服配,mayinxuan.127,AM/BD,赵月晨,谢冰沁Bibi,上岩，已入驻,/,/,,是,5-已入驻,,,,,,,7494600828369077353,7494600828369077353,,,,,,,已填写,,,,,,,,2026-04-21,2.hipo,1,1,1,581.85,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005812,PrimeCove US,LD05854,必招 7 月,,,NICEGREATANDGOOD LLC,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Bath & Body Care,,T4,7494252057448187368,快消生活,chenhaihua,BD,赵月晨,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005813,Aiziyo,LD05855,,AM招商推进,,BreezeRiderEbike Inc,3C,HIPO靶向商家,美区T4,Household Appliances,Kitchen Appliances,,T3,7494115961282987333,3C,zhangwenli.168,AM,,郑羽伶,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005814,YEOREO Shop,LD05856,,AM招商推进,,广州瑜乐户外服饰有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,Sport & Outdoor Clothing,,T4,7496309916251556825,运动潮奢,wuhao.howie,AM,,张玲,/,/,/,,是,5-已入驻,,,,,,,,7496309916251556825,,,,,,,已填写,,,,,,,,2026-07-09,2.hipo,1,1,,,T0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0
LD_005815,Raybee Lumidrawer,LD05857,,,,BESTGTRADE LLC,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T2,7494170765121586329,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005816,Bling Hair VIP Store,LD05858,,AM招商推进,fashion自补,"HONG KONG SHANGZHEN TECHNOLOGY CO., LIMITED",Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Hair Extensions & Wigs,李晓宗,T3,7495979410161830456,服饰服配,zhoujie.jessie,AM,,郭晓彤,@郭晓彤,/,/,,是,5-已入驻,,,,,,,,7494990008527849532,,,,,,7494990008527849532,已填写,,,,,,,,2023-03-30,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_005817,Vantream,LD05859,,,,Vantream Limited,3C,HIPO靶向商家,美区T4,Computers & Office Equipment,NULL,,T0,8648870311613274116,新开国,yangkangkang.231,,,,/,/,/,,是,5-已入驻,,,,,,,7494527186067489796,,,,,,,7494527186067489796,已填写,2026-03-25,2.hipo,0,0,0,,T0,,,,,,,,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_005818,DR.HARRY INSTITUTE,LD05860,,AM招商推进,,ORCAS LIFE HEALTH LIMITED,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Bath & Body Care,,T3,7496138172759640980,快消生活,wanghuarong.925,AM,,王宁,/,/,/,,是,5-已入驻,"极乐鸟生物科技->UK直邮, 极乐鸟-欧洲沟通",,,,,,7494252057448187368,7494252057448187368,,,,,,,已填写,2025-12-04,2.hipo,1,0,0,,T0,2025-11-13,2.hipo,1,1,1,51958.81,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005819,ZYLUMI Furniture,LD05861,,,,智巢国际贸易（深圳）有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T1,7496225656229694277,家具家装,hanxiao.smiley,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005820,OTTOCAST USA,LD05862,,,,深圳四季行电子有限公司,Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,Car Electronics,,T1,7494133292360566589,汽摩工具,yangqi.miranda,,,,/,/,/,,是,1-待触达,,,,,,,7494606340183066476,,,,,,,7494606340183066476,已填写,2026-04-24,1.skm,1,1,1,0.00,T0,,,,,,,,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
