LD_002761,NBGRLVS US,LD02791,,,,Dr Fang Tech Ltd,3C,HIPO靶向商家,美区T4,Beauty & Personal Care,Personal Care Appliances,,T2,7495803014009751831,3C,chloe.123,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002762,LOPEIE.SHOP,LD02792,,,,深圳市莱叱狗电子商务有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Skincare,,T2,7496219529900034480,快消生活,wanghuarong.925,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002763,EssElegance Shop 5,LD02793,,AM招商推进,,广州启航星跨境电商有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Underwear,邢政,T3,7496209326120536199,服饰服配,zhangmeng.0408,AM,,Millie Cheng,/,/,/,,是,5-已入驻,,,,,,,,7494167441290331619,,,,,,,已填写,,,,,,,,2025-09-23,3.other,1,1,1,22393.45,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002764,Sofiten US,LD02794,,,,CHNDREAM LLC,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,Sports & Outdoor Play,,T1,7495295323057785658,快消生活,wangzhen.chris,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002765,HONGYS,LD02795,,,,"HK RUIJIE SHENGTE TECHNOLOGY CO., LIMITED",Fashion,HIPO靶向商家,美区T4,Shoes,Women's Shoes,,T2,7495877213394405431,运动潮奢,shenzehong,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002766,Gizoon Furniture,LD02796,必招 6 月,,,AIRIVA LLC,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T4,7495943849955723578,家具家装,guona.rena,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,,7494571452094579773,,,,,,7494571452094579773,已填写,,,,,,,,2026-04-22,3.other,1,1,1,5944.57,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002767,LOLO STAR,LD02797,,,,FRIENHGANIMHG LLC,Home&Living,HIPO靶向商家,美区T4,Kitchenware,NULL,,T0,7494212451916220131,育商,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002768,JODSONE,LD02798,,AM招商推进,,深圳市虫洞信息科技有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Nail Care,,T4,7495378182239325110,快消生活,huangyaqian.echo,AM,,欧阳嘉桦,/,/,/,,是,5-已入驻,,,,,,,7496153706803071650,,,,,,,,已填写,2025-04-20,3.other,1,1,0,217.72,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
LD_002769,HOHADBR,LD02799,,AM招商推进,,青岛强大辉煌商贸有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Makeup,,T4,7496046703754774961,快消生活,liuburong.emma,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002770,sumaco tool,LD02800,,,,阳江市禧代电子商务有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,NULL,,T0,7496163081472870443,育商,litianshu.sue,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
