LD_006911,BAGSURE US,LD06961,,AM招商推进,,/,Fashion,/,/,Luggage & Bags,Luggage & Travel Bags,李晓宗,T3,7495792514793900039,运动潮奢,qieyixiao,AM,,陈晓,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006912,MOLONG Underwear,LD06962,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Underwear,金惠芷,T3,7496025700389652713,服饰服配,liyawen.7ll,AM,,Millie Cheng,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006913,Rocket up,LD06963,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,Sports & Outdoor Accessories,,T3,7495822660713941480,运动潮奢,liziyin.plumlee,AM,,张玲,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006914,Mothca@USA,LD06964,,AM招商推进,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7495622941727099115,3C,yangyilin.1104,AM,,张莞清,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006915,Kaitnax Tools,LD06965,,AM招商推进,,/,Home&Living,/,/,Tools & Hardware,Power Tools,,T3,7496033880375528321,汽摩工具,liyanqiu.tk,AM,,周羽中 Ray,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006916,Daci,LD06966,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,"Swimwear, Surfwear & Wetsuits",黄嘉伟,T3,7495732382721935662,运动潮奢,qieyixiao,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006917,Choicesonhome,LD06967,,,,/,Home&Living,/,/,#N/A,/,,#N/A,7496248532168378652,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006918,MOEENCN FASHION,LD06968,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Suits & Sets,黄嘉伟,T3,7496210527264672078,服饰服配,jiangshan.amber,AM,,Millie Cheng,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006919,Gorisgarmo store,LD06969,,AM招商推进,,/,Fashion,/,/,Luggage & Bags,Functional Bags,,T3,7496210589360360170,运动潮奢,shenzehong,AM,,陈晓,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006920,TryLazy Home,LD06970,,AM招商推进,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T3,7496315576846682996,家具家装,zhulong.zhu,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
