LD_006631,HELLOICE Jewelry,LD06681,,AM招商推进,,/,Fashion,/,/,Jewelry Accessories & Derivatives,Artificial Gemstones,肖爱玉,T3,7495541860493593337,运动潮奢,hsinyi.7,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006632,Drizzly,LD06682,,AM招商推进,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7496284312703502943,3C,wangzhenwei.1,AM,,胡思倩,/,/,/,,是,6-拒绝入驻,,,主攻美区,,image.png,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006633,POHIR US,LD06683,,AM招商推进,,/,Home&Living,/,/,Tools & Hardware,Pumps & Plumbing,,T3,7495870348454169474,家具家装,xiaoweiye,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006634,RONILURN,LD06684,,AM招商推进,,/,Fashion,/,/,Shoes,Women's Shoes,金惠芷,T3,7496025805331925340,运动潮奢,lishachoo,AM,,张玲,/,/,/,,是,5-已入驻,,,,,,,7494107884622874388,7494213846391555971,,,,,,,已填写,2025-10-22,2.hipo,1,0,0,,T0,2025-10-22,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_006635,EUERTE US,LD06685,,AM招商推进,,/,Home&Living,/,/,Tools & Hardware,Hardware,,T3,7495804362889071089,汽摩工具,xuebaoping,AM,,周羽中 Ray,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006636,Ice Hue,LD06686,,,,/,Fashion,/,/,#N/A,/,,T3,7496137312114739566,服饰服配,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006637,Smilco Fashion,LD06687,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,,T3,7495466432399903333,服饰服配,weiyue.0123,AM,,郭晓彤,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006638,HONITTY BAGS,LD06688,,AM招商推进,,/,Fashion,/,/,Luggage & Bags,Functional Bags,彭之茂,T3,7495839033745050204,运动潮奢,shenzehong,AM,,陈晓,/,/,/,,是,5-已入驻,,,,,,,,7494155742749689612,,,,,,,已填写,,,,,,,,2025-09-18,3.other,1,1,1,942.66,T1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0
LD_006639,B&QLASH,LD06689,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Makeup,,T3,7495304504939482058,快消生活,chenhaihua,AM,,俞欣洁,/,/,/,,是,5-已入驻,,,,,,,7496125111924459698,,,,,,,,已填写,2025-03-21,2.hipo,1,1,1,57841.80,T3,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006640,CheerPals,LD06690,,AM招商推进,,/,Beauty&FMCG,/,/,Pet Supplies,Dog & Cat Furniture,,T3,7496137112813275812,快消生活,haoyemeng.ian,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
