LD_001581,Lehoo Castle,LD01585,,,,汕头市乐久塑胶有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Classic & Novelty Toys,,T2,7495410094711081273,快消生活,wangzhen.chris,,,,/,/,/,,是,1-待触达,,,,,,,7496156792776657321,,,,,,,7496156792776657321,已填写,2025-04-25,3.other,1,0,0,,T0,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001582,Sweddok store,LD01586,,,,天際安家有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",NULL,,NULL,8656239356193706650,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001583,FLORSOLIG,LD01587,,,,义乌市鸿雀工艺品有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,,NULL,NULL,NULL,,,,老板 - 郑晓峰,@郑晓烽,义乌,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_001584,TryLazy Furniture,LD01588,,,,SHI TAK TRADING LIMITED,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Indoor Furniture,,T4,7496219579924908940,家具家装,zhulong.zhu,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001585,WA2N4G,LD01589,,,,鼎至商貿有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001586,PAMAX,LD01590,,,,福州捷寰科技有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",NULL,,T0,8648275745382307850,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496086259461687306,7496086259461687306,,,,,,7496086259461687306,已填写,,2.hipo,0,0,0,,T0,,3.other,0,0,0,,T0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001587,XIDAMEN,LD01591,,,,福州米汇网络科技有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle 2,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001588,SOFT SPACE,LD01592,,AM招商推进,,福州知弈电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,Textiles & Soft Furnishings,Bedding and Linens,,T4,7495803151131379760,日用家纺,zhouxinrui.zz,AM,,刘雨欣,,/,/,,是,2-已触达/沟通中,美英欧生意共建入驻意向沟通-AM【xinrui&yuxin】,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001589,mukidyride,LD01593,,AM招商推进,,广州嘉益进出口有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Toys & Hobbies,Sports & Outdoor Play,,T3,7496013463917726670,快消生活,wangzhen.chris,AM,,欧阳嘉桦,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001590,best seven shop,LD01594,,,,广州膳臻食品有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Home Decor,,T1,7496182572803721628,日用家纺,tian,BD,夏春雨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
