LD_000131,EVLWZL Mattress,LD00131,必招 6 月,,,佛山市梦多姿家具有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Indoor Furniture,,T4,7496002164929432304,家具家装,wangsong.0925,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,7496002164929432304,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000132,Sweet Furniture F,LD00132,必招 6 月,,,DUMOS HOME INC,Home&Living,HIPO靶向商家,美区T5,Furniture,Indoor Furniture,,T4,7495352659344460156,日用家纺,yangli.lee,BD,江家徵,,TTS负责人 - Peter,@Peter,杭州,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000133,Sweet Furniture Plus,LD00133,必招 6 月,,,DUMOS HOME INC,Home&Living,HIPO靶向商家,美区T5,Furniture,Indoor Furniture,,T4,7495341470283958758,家具家装,hanxiao.smiley,BD,江家徵,,TTS负责人 - Peter,@Peter,杭州,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000134,LHBGO,LD00134,必招 6 月,,,宁波跳跳糖科技有限公司,Home&Living,HIPO靶向商家,美区T4,Home Improvement,Garden Supplies,,T5,7495804310185085295,家具家装,xiaoweiye,BD,张志强,,Tony总（大会约没接）,大会约没接,宁波,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000135,PASLDA US,LD00135,必招 6 月,,,深圳淼佳科技有限公司,Home&Living,HIPO靶向商家,美区T5,Automotive & Motorcycle,Car Electronics,,T4,7495861483311171697,汽摩工具,liyanqiu.tk,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496190419730467497,7496190419730467497,,,,,,7496190419730467497,已填写,2025-05-16,2.hipo,1,1,1,2852.78,T1,2025-06-12,2.hipo,1,1,1,95.96,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000136,Kitchen in the Box US,LD00136,必招 6 月,,,"https://bytedance.larkoffice.com/wiki/WsQcwtt3biVRvgkzhlsckEQwnnh, https://bytedance.larkoffice.com/wiki/WsQcwtt3biVRvgkzhlsckEQwnnh",3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,/,Kitchen Appliances,,T4,7495854641068149291,3C,zhangwenli.168,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496304177166125296,,,,,,,7496304177166125296,已填写,2025-07-31,1.skm,1,1,1,941.65,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000137,WellWell Luxury,LD00137,必招 6 月,,,杭州羽易鑫贸易有限公司,Fashion,HIPO靶向商家,美区T4,#N/A,Pre-Loved Luggage & Bags,,T4,7494205374641112086,运动潮奢,hsinyi.7,BD,赵月晨,,李鑫 老板,/,深圳,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000138,Niccae Furniture US,LD00138,必招 6 月,,,广东悦城电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Indoor Furniture,,T4,7495882545222421095,家具家装,zhulong.zhu,BD,张志强,,德国店铺CNDECBLQQL8G,/,/,,是,5-已入驻,,,,,,,7494306588721317013,,,,,,,7494306588721317013,已填写,2025-12-16,2.hipo,1,1,1,6233.05,T2,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000139,Lynx Core,LD00139,必招 6 月,,,"Hong Kong Juli Innovation Trade Co., Limited",3C,HIPO靶向商家,美区T4,#N/A,Gaming & Consoles,,T4,7496182474970794959,3C,mattzhang,BD,李泽,,陈翔,/,/,,是,5-已入驻,,开通直邮,,,,,7494661000074856082,7494788128805520459,,,,,,7494661000074856082,已填写,2026-05-21,3.other,1,0,0,,T0,2026-07-20,3.other,1,1,,,T0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
LD_000140,Tuffenough Usv,LD00140,必招 6 月,,,勐海嘉浩电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Lights & Lighting,,T5,7495623038716054461,家具家装,bicongyu,BD,张志强,, CNGBCBBVQLVY/CNFRCBGVQLVH,/,/,,是,5-已入驻,,,,,,,,7496168296483162340,,,,,,7496168296483162340,已填写,,,,,,,,2025-04-30,2.hipo,1,1,1,,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
