LD_006261,Delaraa,LD06309,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T0,7494589643412375429,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006262,BACKCORNERONLY,LD06310,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T1,7494591205891671130,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006263,SYMMEXA,LD06311,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T2,7496117019482164079,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006264,Palettesqd,LD06312,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T0,7494591252601669628,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006265,Fortune Luck Innovations Inc,LD06313,必招 7 月,,,/,Home&Living,/,/,#N/A,Garden Supplies,,T2,7494173537698416539,家具家装,xiaoweiye,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006266,Elara Rose,LD06314,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T2,7494419241044313248,服饰服配,zhuyouping,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006267,YANGXIANGQING LLC,LD06315,必招 7 月,,,/,Fashion,/,/,#N/A,Costume Jewelry & Accessories,,T2,7494617228416485337,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006268,KODA & CO 04,LD06316,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T2,7494562125370917906,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006269,Luxury Watch Boutique,LD06317,必招 7 月,,,/,Fashion,/,/,#N/A,Fashion Watches & Accessories,,T2,7494676196102735134,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006270,OS Fashion US,LD06318,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T0,7494160714326247374,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
