LD_000301,jata,LD00301,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000302,rhinoshield,LD00302,,,,爱进化科技股份有限公司 (台湾企业 Evolutive Labs),3C,战略重点商家,A. 知名品牌｜Recognized Brands,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000303,honeywell,LD00303,,,,深圳韦尔创新有限公司,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,NULL,,T0,7494679633473864978,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000304,mimao ®,LD00304,,,,/,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Shoes,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000305,winiso,LD00305,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Computers & Office Equipment,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000306,Cupshe France,LD00306,,,,/,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7495304794624723672,7495304794624723672,,,,,,7495304794624723672,已填写,2025-12-16,1.skm,1,1,1,16522.39,T2,2025-11-26,2.hipo,1,1,1,43854.04,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000307,fc,LD00307,,,,/,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000308,roxy nails paris,LD00308,,,,/,Beauty&FMCG,战略重点商家,A. 知名品牌｜Recognized Brands,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496118305125468736,7496118305125468736,,,,,,7496118305125468736,已填写,2025-03-21,1.skm,1,1,1,3057.39,T1,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_000309,lk,LD00309,,,,深圳市耀晖科技有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000310,Greensun Solar,LD00310,,,,深圳市绿阳新能源科技有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Home Improvement,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
