LD_005921,Yesnap Nature,LD05963,,,,ROMASS INC,Beauty&FMCG,HIPO靶向商家,美区T4,Health,/,,#N/A,7494590211951920650,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005922,Cyber Mac,LD05964,,,,MCSQUARE LTD,3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,#N/A,7496189187576465890,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005923,EBIKE US,LD05965,,,,深圳阿拉法特贸易有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,Leisure & Outdoor Recreation Equipment,,T4,7495828490979215829,运动潮奢,wanwan.888,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,7494337254532744670,,,,,,,7494337254532744670,已填写,2026-03-25,3.other,1,0,0,,T0,,,,,,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_005924,JINXI INC,LD05966,必招 7 月,AM招商推进,fashion自补,JINXI INC,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,Sport & Outdoor Clothing,,T4,7495882695654476609,运动潮奢,qieyixiao,AM/BD,赵月晨,罗才鑫,暂不考虑,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005925,Happy Learning Shop,LD05967,,AM招商推进,,XIAOGUANGHUI LTD,3C,HIPO靶向商家,美区T4,Computers & Office Equipment,Office Stationery & Supplies,,T5,7495920096555076194,3C,mattzhang,AM,,胡思倩,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005926,Lilypelle,LD05968,,,,江西博尼卡电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,/,,#N/A,7496143580399634690,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005927,OlanGuard,LD05969,,,,深圳好事陈双文化传媒有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,NULL,,T0,7495692152590207286,运动潮奢,yuna.xu,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005928,JOFEI,LD05970,,,,Xianggang Da Shui Niu Yi Co Ltd,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Bath & Body Care,,T2,7494207112725890748,快消生活,liuburong.emma,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005929,NiuWork Tool,LD05971,,AM招商推进,,天台随安汽车用品有限公司,Home&Living,HIPO靶向商家,美区T4,Tools & Hardware,Power Tools,,T4,7496219400523581948,汽摩工具,chenchen.cccc,AM,,王妙辰,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005930,UlikeGlobal,LD05972,,,,AMERICA ULIKE INTERNATIONAL INC,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,/,,#N/A,7494210729619326665,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
