LD_008021,EchoGoods Hub,LD08071,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7494225069446366750,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008022,Hanin Global,LD08072,,,,/,3C,/,/,Computers & Office Equipment,/,,T3,7495832070131255924,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495832070131255924,7495832070131255924,,,,,,7495832070131255924,已填写,2025-06-24,1.skm,1,1,1,31677.63,T3,2025-06-20,1.skm,1,1,1,5383.83,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008023,GleKey Jewelry,LD08073,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,Jewelry Accessories & Derivatives,/,,T3,7494250601059026622,运动潮奢,yanbailu,AM/BD,金慧婷,郭晓彤,/,/,/,,是,5-已入驻,,,,,,,7494697102357137177,7494697102357137177,,,,,,7494697102357137177,已填写,,,,,,,,2026-06-08,2.hipo,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_008024,Garvee Gadgets,LD08074,,,,/,Home&Living,/,/,Furniture,/,,T3,7494489472962430509,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008025,GK Hair,LD08075,,,fashion自补,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,,T3,7495779051106175176,服饰服配,NULL,,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008026,SKIL,LD08076,,,,/,Home&Living,/,/,Tools & Hardware,/,,T3,7494597511008781920,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008027,YFN JEWELRY FACTORY,LD08077,,,,/,Fashion,/,/,Jewelry Accessories & Derivatives,/,,T3,7495360732359330473,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008028,TIANYUE Accessories&Hats,LD08078,,,,/,/,/,/,Fashion Accessories,/,,T3,7496022637312969162,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008029,Pet Balloon Co.,LD08079,必招 7 月,,,/,Beauty&FMCG,/,/,Pet Supplies,Dog & Cat Accessories,,T2,7494213673920333069,快消生活,haoyemeng.ian,BD,张志强,,Lex,/,广州,,是,5-已入驻,,有英国店铺 广州沟通中,,,,,,7496278967117449610,,,,,,,已填写,,,,,,,,2025-07-27,3.other,1,1,1,472.21,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_008030,PlayPuff,LD08080,必招 7 月,,,/,Beauty&FMCG,/,/,Toys & Hobbies,Classic & Novelty Toys,,T3,7496312896760219810,快消生活,wangshu.jasmine,BD,张志强,,/,/,/,,是,5-已入驻,,,,,,,7494775473506452654,7494775473506452654,,,,,,7494775473506452654,已填写,2026-07-13,2.hipo,1,0,,,T0,,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0
