LD_001861,YANDY.PH,LD01868,,,,严迪健康科技(深圳)有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_001862,ENCHEN PERSONAL CARE,LD01869,,,,优乐集团,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494292708134126854,,,,,,,7494292708134126854,已填写,2025-12-05,3.other,1,1,1,13384.76,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_001863,Youthology,LD01870,,,,有生之颜（深圳）生物科技有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001864,Torras Vietnam,LD01871,,,,深圳市风界科技有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001865,TORRAS,LD01872,,,,深圳市图拉斯新生活科技有限公司-CNOB,3C,HIPO靶向商家,CNOB,Electronics,Mobile Phone Accessories,,T2,7495316157167667398,3C,zhuxiaoyi.suki,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,7494492020452591445,7494492020452591445,,,,,,7494492020452591445,已填写,2026-03-12,1.skm,1,1,1,289.46,T1,,,,,,,,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_001866,Segrass,LD01873,,,,深圳市拓昱科技有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Lights & Lighting,,T3,7496106796346870330,家具家装,wangyizhi.215,BD,赵月晨,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001867,Rabito.Indo,LD01875,,,,Dingbo Trading Company Limited,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001868,CasePark-PH,LD01876,,,,大名电子,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001869,SUNRISETC SHOP PH,LD01877,,,,东莞市日初电子商务有限公司-CNOB,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001870,Takoo Tools,LD01878,,,,海口宜英航商贸有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
