LD_000351,farfallarossa,LD00351,,,,MEDIAMINDS LIMITED,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Textiles & Soft Furnishings,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000352,hiqili,LD00352,,,,会七里（广州）供应链科技有限公司,Beauty&FMCG,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Health,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000353,fitueyes,LD00353,,,,"常州市飞特尔家具有限公司 (Changzhou Fitueyes Furniture Co., Ltd.)",Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Furniture,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000354,smart tech,LD00354,,,,深圳市彩讯工业有限公司 (Shenzhen Express Luck Industrial Ltd.),3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000355,outin,LD00355,,,,傲町（宁波）跨境电子商务有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494202077858989791,,,,,,,7494202077858989791,已填写,2025-11-27,3.other,1,0,0,0.00,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_000356,lige,LD00356,,,,广州罗曼蒂贸易有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000357,ootd,LD00357,,,,"深圳市欧特帝科技有限公司 (Shenzhen Ootedi Technology Co., Ltd.)",Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Womenswear & Underwear,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494453797899895863,7494453797899895863,,,,,,7494453797899895863,已填写,2026-03-11,1.skm,1,1,1,4890.65,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_000358,soomfon,LD00358,,,,"深圳市索姆丰科技有限公司 (Shenzhen Suomufeng Technology Co., Ltd.)",3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,NULL,,T0,7494560407591095133,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000359,dream pairs,LD00359,,,,湖南弯弓信息科技有限公司,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Shoes,/,,#N/A,7496099940952410711,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496165336389421767,7496165336389421767,,,,,,7496165336389421767,已填写,2025-05-26,1.skm,1,1,1,6891.29,T2,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000360,shokz,LD00360,,,,"深圳市韶音科技有限公司 (Shenzhen Shokz Co., Ltd.)",3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,Audio & Video,,T5,7495912982969682522,3C,wanglizhen.321,BD,叶佳智,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
