LD_007851,Weekday Tees,LD07901,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7494348697968477284,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007852,Ancel Global Official,LD07902,,,,/,Home&Living,/,/,Automotive & Motorcycle,/,,T3,7495510191529495283,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496161936063630160,,,,,,7496161936063630160,已填写,,,,,,,,2025-04-25,2.hipo,1,1,1,150.97,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007853,Bloom Trove,LD07903,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7496108078084623237,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007854,MUMA LUXE,LD07904,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7496146904642390066,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496146904642390066,7496146904642390066,,,,,,7496146904642390066,已填写,2026-05-25,2.hipo,1,1,0,,T0,2026-05-25,2.hipo,1,1,1,2408.09,T1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
LD_007855,Ulanzi,LD07905,必招 7 月,,,/,3C,/,/,/,/,,/,NULL,NULL,NULL,BD,叶佳智,,郑总 老板,/,福建福州,,是,4-入驻中,,,,,,,7495786079431396053,7495786079431396053,,,,,,7495786079431396053,已填写,2025-05-23,1.skm,1,1,1,3338.70,T1,,,,,,,,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
LD_007856,GOSUHI Furniture,LD07906,,,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T5,7496251766618754001,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494403342089749886,,,,,,7494403342089749886,已填写,,,,,,,,2026-02-05,2.hipo,1,1,1,496516.99,T5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007857,Lordgrae,LD07907,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7494153614587234272,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007858,Karlhome US,LD07908,,,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T3,7495943817158822052,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007859,KIDJOY HOME,LD07909,,,,/,/,/,/,Baby & Maternity,/,,T3,7496082266967738732,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007860,anker、realme、xiaomi等,LD07910,必招 7 月,,,佳音,3C,HIPO靶向商家,A. 知名品牌｜Recognized Brands,/,/,,/,NULL,NULL,NULL,BD,叶佳智,,金总,/,浙江杭州,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
