LD_007961,Hanin Official,LD08011,必招 7 月,,,/,3C,/,/,Computers & Office Equipment,Office Equipment,,T1,7495822225815276148,新开国,faye.liu,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7495822225815276148,7495822225815276148,,,,,,7495822225815276148,已填写,2025-08-29,2.hipo,1,1,1,13688.28,T2,2025-08-29,1.skm,1,1,1,10634.48,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007962,SUKIDA,LD08012,,,,/,Home&Living,/,/,Furniture,/,,T3,7495965097785002140,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007963,Tiwugi hair store,LD08013,,,fashion自补,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,,T3,7495829723241286011,服饰服配,NULL,,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007964,WattCycle Energy,LD08014,,,,/,Home&Living,/,/,Home Improvement,Electrical Equipment & Supplies,,T5,7495913382431590888,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007965,Healthy Life Choice,LD08015,必招 7 月,,,/,Beauty&FMCG,/,/,Health,Nutrition & Wellness,,T3,7495957670069176512,快消生活,qilinyou,BD,张志强,,/,/,/,,是,2-已触达/沟通中,,陈大有 入驻中,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007966,JOYIN,LD08016,必招 7 月,,,/,Beauty&FMCG,/,/,Toys & Hobbies,Festive & Party Supplies,,T4,7495151898716112903,快消生活,wangshu.jasmine,BD,张志强,,/,/,/,,是,5-已入驻,,,,88888887_10_3.png,,,,7494778538928866681,,,,,,,已填写,,,,,,,,2026-07-16,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_007967,UOOZEE USA,LD08017,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7496015304463059411,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496131318900099889,,,,,,7496131318900099889,已填写,,,,,,,,2025-03-28,2.hipo,1,1,1,23012.44,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007968,YOULON,LD08018,,,,/,Fashion,/,/,Sports & Outdoor,Leisure & Outdoor Recreation Equipment,,T4,7494109709841827775,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494718979355346152,,,,,,,7494718979355346152,已填写,2026-06-15,3.other,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_007969,Bambu Lab,LD08019,必招 7 月,,,/,3C,/,/,Computers & Office Equipment,Office Equipment,,T3,7495187015080708896,3C,mattzhang,BD,李泽,,木薯欧区负责人,@木薯,深圳,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007970,EcoBuyPhone U.S.,LD08020,必招 7 月,,,/,3C,/,/,Phones & Electronics,Refurbished Electronics,,T3,7494262518016279947,3C,panzimo.666,BD,李泽,,庞-TTS负责人,3322818665,广州,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
