LD_002671,KORIMEFA,LD02699,,,,上海旸曦电子商务有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Toys & Hobbies,Sports & Outdoor Play,,T2,7495810151564413619,快消生活,liushanyu.0213,,,,/,/,/,,是,5-已入驻,,,,,,,7495830820416359211,7495830820416359211,,,,,,7495830820416359211,已填写,2025-04-25,2.hipo,1,0,0,,T0,2025-03-07,2.hipo,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002672,Hikiddo U.S.,LD02700,,,,POLAR NYLON INC,Beauty&FMCG,HIPO靶向商家,美区T4,Toys & Hobbies,Sports & Outdoor Play,,T2,7495917005998885190,快消生活,wangzhen.chris,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002673,Floerns store,LD02701,,AM招商推进,fashion自补,广州光洋电子商务有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Suits & Sets,邱玺,T4,7495753394246224362,服饰服配,youwenhao.ywh,AM/BD,赵月晨,Millie Cheng,上海gorgliter同集团，拒绝今年入驻,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002674,Devoac Cleaning,LD02702,,,,AINUO HOME FURNISHING CO LTD,3C,HIPO靶向商家,美区T4,Household Appliances,/,,#N/A,7495916975413889162,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7494565596946269387,,,,,,,7494565596946269387,已填写,2026-04-07,2.hipo,1,1,1,5819.49,T2,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002675,QTHCTK,LD02703,,,,HONG KONG XIN YAO DA XING TECHNOLOGY LIMITED,Fashion,HIPO靶向商家,美区T4,Shoes,Women's Shoes,,T2,7495867499123738957,运动潮奢,shenzehong,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002676,QiQi Unbox,LD02704,,,,东莞市琦琦酷潮跨境电商有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Toys & Hobbies,NULL,,T2,7496254699505028000,快消生活,wangshu.jasmine,,,,/,/,/,,是,5-已入驻,,,,,,,,7496254699505028000,,,,,,7496254699505028000,已填写,,,,,,,,2026-01-29,2.hipo,1,1,1,54.46,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002677,BCUOZ CAR,LD02705,,,,深圳市如鱼得水智能有限公司,Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,/,,#N/A,7495153637447142394,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7495960065652394360,,,,,,,7495960065652394360,已填写,2025-05-08,2.hipo,0,0,0,0.00,T0,,,,,,,,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002678,Chancsin,LD02706,,AM招商推进,,广州常兴电子商务有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Sports & Outdoor,Fitness,,T3,7494176951627580479,快消生活,liuburong.emma,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002679,QPS TECH,LD02707,,AM招商推进,,"QPS ELECTRONICS CO., LIMITED",3C,HIPO靶向商家,美区T4,Phones & Electronics,Phones & Tablets,,T4,7496035641411930528,3C,huanghaoxuan.123,AM,,文思琪,沟通中,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002680,Efurden,LD02708,,,,Psilvam LLC,Home&Living,HIPO靶向商家,美区T4,Tools & Hardware,/,,T4,7496136086579547132,家具家装,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,7494643826675778592,,,,,,7494643826675778592,已填写,,,,,,,,2026-05-18,3.other,1,1,1,9634.91,T2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
