LD_006241,United Scents store,LD06289,必招 7 月,,,/,Beauty&FMCG,/,/,#N/A,Fragrance,,T2,7496141519375993345,快消生活,chenhaihua,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006242,UZY,LD06290,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T2,7494532901511005220,运动潮奢,yanbailu,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006243,LumiStore12,LD06291,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T0,7494590777612404667,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006244,MIRA Card,LD06292,必招 7 月,,,/,Fashion,/,/,Collectibles,Trading Cards & Accessories,,T3,7495955565675317347,运动潮奢,tangmengze,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006245,USUSLCUKEK82,LD06293,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T2,7494641607511803171,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006246,Kaelenswa,LD06294,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T0,7494590815810192591,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006247,BTLLSSH LASH,LD06295,必招 7 月,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Makeup,,T3,7495804447019403408,快消生活,liuburong.emma,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006248,KENDRAS,LD06296,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T2,7494591278015285050,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006249,Talynnwa,LD06297,必招 7 月,,,/,3C,/,/,#N/A,NULL,,T0,7494588704405620678,3C,wangzhenwei.1,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006250,FAMOUS ART CUP,LD06298,必招 7 月,,,/,Fashion,/,/,Collectibles,Entertainment,,T3,7494640140490278385,运动潮奢,hsinyi.7,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
