LD_002151,SBEAUTI-STICKYBRAS,LD02166,,,,深圳丝贝缇贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002152,aoFIT.,LD02167,,,,石家庄奥非特进出口有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,Sports & Outdoor Accessories,,T2,7496013378564229188,运动潮奢,chenwei.003,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002153,VIVAIA US,LD02168,,,,斯达领科,Fashion,HIPO靶向商家,CNOB,Fashion,/,,#N/A,7494418648865015702,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494418648865015702,,,,,,7494418648865015702,已填写,,,,,,,,2026-02-24,1.skm,1,1,1,888.20,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002154,LOVE & LIKE BOUTIQUE,LD02169,,,,太原春宏商贸有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002155,ZM OUTDOORS TOOL,LD02170,,,,太原中北高新技术产业开发区霖芯电子商行(个体工商户),Home&Living,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",NULL,,T0,7494116022295431153,运动潮奢,wanwan.888,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002156,GEMTLE MCUSTER,LD02171,,,,台州越祖文化传媒有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002157,Hello Polo,LD02172,,,,武汉马可孛尼科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002158,OCCHIALI STUDIO,LD02173,,,,武汉盼卓瑞兴电子商务有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002159,MeowMe,LD02174,,,,无锡佳鼎特钢有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002160,Trailtop OfficiaI Stor,LD02175,,,,香港卡里夢實業有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle 1,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
