LD_006171,TimelessMODE,LD06219,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,Womenswear & Underwear,Men's Suits & Sets,,T3,7494471969895450343,服饰服配,xuchen.quan666,AM/BD,金慧婷,谢冰沁Bibi,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006172,Toyplanet,LD06220,必招 7 月,,,/,Beauty&FMCG,/,/,Toys & Hobbies,Dolls & Stuffed Toys,,T4,7496308393855585117,快消生活,wangzhen.chris,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006173,Luxury Reborn vintage,LD06221,必招 7 月,,,/,Fashion,/,/,Pre-Owned,Pre-Loved Luggage & Bags,,T3,7494500580694132026,运动潮奢,yanbailu,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006174,Pandiland,LD06222,必招 7 月,,,/,Beauty&FMCG,/,/,NULL,NULL,,NULL,7496310142041229655,新开国,chenqing.0918,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006175,UZY-1,LD06223,必招 7 月,,,/,Fashion,/,/,Sports & Outdoor,"Swimwear, Surfwear & Wetsuits",,T1,7494195712480806856,服饰服配,liyaoyao.y,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
LD_006176,Butterfly Vintage Shop,LD06224,必招 7 月,,,/,Fashion,/,/,Pre-Owned,Pre-Loved Luggage & Bags,,T3,7494385331696010550,运动潮奢,tangmengze,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006177,AoLongArtwork,LD06225,必招 7 月,,,/,Home&Living,/,/,Kitchenware,Drinkware,,T2,7495822187945364031,日用家纺,zhouxinrui.zz,BD,江家徵,,老板 - 温亮华,@温亮华,/,,是,2-已触达/沟通中,,电话沟通过，本周再跟进,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006178,Codatw,LD06226,必招 7 月,,,/,Fashion,/,/,NULL,NULL,,T0,7494539477007959232,服饰服配,wangrui.wil,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
LD_006179,XanaduGems,LD06227,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,Jewelry Accessories & Derivatives,Natural Crystal,,T3,7495314842662308327,运动潮奢,tangmengze,AM/BD,李京达,郭晓彤,清退店铺回捞,/,/,,是,5-已入驻,,,,,,,7495314842662308327,7495314842662308327,,,,,,,已填写,,,,,,,,2024-01-31,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_006180,TGS Gems Mod,LD06228,必招 7 月,,,/,Fashion,/,/,Jewelry Accessories & Derivatives,Non-natural Crystal,,NULL,7495381352301824896,新开国,chloeguo.03,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7494440668400945767,7494440668400945767,,,,,,7494440668400945767,已填写,,,,,,,,2021-12-14,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
