LD_002461,Kaslandi,LD02478,,,,深圳市卡斯兰蒂家具有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Indoor Furniture,,T3,7495861632025791451,家具家装,guona.rena,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002462,Astercook USA,LD02479,,AM招商推进,,深圳市启步电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,Kitchenware,Cookware,,T3,7495703493306976621,日用家纺,yinyaxing,AM,,郎子涵,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002463,SYOKAMI,LD02480,,,,深圳市晓晓清科技有限公司,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,/,,T3,7496015162110347439,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496102164473482044,,,,,,7496102164473482044,已填写,,,,,,,,2025-03-04,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002464,SHA CERLIN,LD02481,,AM招商推进,,深圳市信盒贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Furniture,Indoor Furniture,,T5,7495819577366776160,家具家装,hanxiao.smiley,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002465,LIBITU MALL,LD02482,,,,乐豪,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002466,HyperliteOfficial,LD02483,,,,深圳市照五洲灯具有限责任公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",NULL,,T0,8648450253780720135,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495761391140243975,,,,,,,7495761391140243975,已填写,,2.hipo,0,0,0,,T0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002467,Qinpeng67y,LD02484,,,,深圳小迈制造有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Skincare,,T3,7496059531438295900,日用家纺,zhouxinrui.zz,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002468,Seaways shop,LD02485,,,,水卫仕（聚合）,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002469,Melex Home,LD02486,,AM招商推进,,苏州麦乐斯纺织科技有限公司,Home&Living,HIPO靶向商家,CNOB,Textiles & Soft Furnishings,Bedding and Linens,,T5,7496277030079400567,日用家纺,lishiyun.607,AM,,刘雨欣,/,/,/,,是,2-已触达/沟通中,home living美区商家英欧互通入驻咨询群,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002470,ZIYANG.PH,LD02487,,,,天津市曲宁电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
