LD_007911,VEVOR Home Store,LD07961,必招 7 月,,,/,3C,/,/,Household Appliances,Kitchen Appliances,,T5,7495953500383709304,3C,zhangwenli.168,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496257912646961254,7496257912646961254,,,,,,7496257912646961254,已填写,2025-07-02,1.skm,1,1,1,2524149.89,T5,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007912,Sopami FMCG,LD07962,,,,/,Home&Living,/,/,Home Supplies,/,,T3,7494148854457534288,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007913,Bearbro Fitness Studio,LD07963,,,,/,Fashion,/,/,Sports & Outdoor,Fitness,,T4,7495823532547541371,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007914,RegalRegal,LD07964,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7494091070601069620,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007915,Lighting Home,LD07965,,,,/,/,/,/,Home Improvement,/,,T3,7496243513205098513,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007916,AapeXlilkool,LD07966,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7496253340923693065,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496253340923693065,7496253340923693065,,,,,,7496253340923693065,已填写,2025-08-20,2.hipo,1,1,0,0.00,T0,2025-08-20,2.hipo,1,1,1,12183.13,T2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
LD_007917,Imily Bela Living,LD07967,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7495332970208463532,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496188044472322956,7496188044472322956,,,,,,7496188044472322956,已填写,2025-05-28,1.skm,1,1,1,9580.16,T2,2025-07-09,2.hipo,1,1,1,0.00,T0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007918,NUAN,LD07968,,,,/,/,/,/,Home Supplies,/,,T3,7496291572031457749,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007919,WENNALIFE,LD07969,,,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,T3,7495342884677912856,服饰服配,NULL,,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007920,SHEGLAM HAIR US,LD07970,必招 7 月,,,/,3C,/,/,Beauty & Personal Care,Haircare & Styling,,T4,7496047809340606764,3C,panlin.888,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7495665791526865315,7495665791526865315,,,,,,7495665791526865315,已填写,,,,,,,,2025-04-28,2.hipo,1,1,1,202244.46,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
