LD_002891,luckyshopping,LD02922,,,,乡村人才（广州）规划研究院,Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,NULL,,T0,7494419830720334084,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496158833853499820,,,,,,7496158833853499820,已填写,,,,,,,,2025-05-15,2.hipo,1,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002892,CAM WORLD,LD02923,,,,深圳市黑玲贸易有限公司,Home&Living,HIPO靶向商家,美区T5,Automotive & Motorcycle,NULL,,NULL,7496287957639530899,新开国,tangwei.012,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002893,CONATU-UK,LD02924,,,,厦门楠鸽科技有限公司,3C,HIPO靶向商家,美区T5,Computers & Office Equipment,NULL,,T0,7494288729583551582,新开国,tangwei.012,,,,/,/,/,,是,5-已入驻,,,,,,,7495447349453490239,7495447349453490239,,,,,,7495447349453490239,已填写,,2.hipo,0,0,0,,T0,2026-01-10,2.hipo,1,1,1,,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002894,oteritop,LD02925,,,,深圳市噢特科技有限公司,Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,NULL,,T0,7494080685813958236,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002895,bling hair Queen,LD02926,,,,许昌昊烨发制品有限公司,Fashion,HIPO靶向商家,美区T5,Fashion Accessories,NULL,,T0,7494258805294793993,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496103482077448900,,,,,,7496103482077448900,已填写,,,,,,,,2025-03-03,2.hipo,1,1,1,4974.57,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002896,joyrealtoys,LD02927,,,,广州派对动物网络科技有限公司,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,Educational Toys,,T3,7496122476972575514,新开国,chenqing.0918,,,,/,/,/,,是,5-已入驻,,,,,,,,7496122476972575514,,,,,,7496122476972575514,已填写,,,,,,,,2025-03-19,1.skm,1,1,1,74040.29,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002897,Cheetah Beauty Hair,LD02928,,,,许昌香波特商贸有限公司,Fashion,HIPO靶向商家,美区T5,Fashion Accessories,NULL,,T0,7494765940079233333,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002898,Clarity Care,LD02929,,,,深圳市蜂语科技有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,/,,#N/A,8647329709674437572,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496132510283041479,,,,,,7496132510283041479,已填写,,,,,,,,2025-03-30,2.hipo,1,1,1,5271.22,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002899,VinovaChic,LD02931,,,,Accio HK Limited,Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,NULL,,T1,8647430668339943878,服饰服配,minghuicheng,,,,/,/,/,,是,5-已入驻,,,,,,,,7496035653414193606,,,,,,7496035653414193606,已填写,,,,,,,,2025-06-05,2.hipo,0,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002900,halarauk,LD02932,,,,广州速量在线科技有限公司,Fashion,HIPO靶向商家,美区T5,Sports & Outdoor,NULL,,T0,7494083298319107506,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
