LD_002171,FINE TOO,LD02186,,,,义乌市秋嫣电子商务有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Women's Underwear,,T4,7495157149645834350,服饰服配,youwenhao.ywh,BD,赵月晨,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002172,Wigs by GDS,LD02187,,,,义乌市箱子文化用品有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002173,EnamelCare,LD02188,,,,元百年(厦门)生物科技有限公司,Fashion,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Nasal & Oral Care,,T1,7494165549857867672,快消生活,songli.0901,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002174,KOK TRENDY,LD02189,,,,运城数字惠农信息科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002175,Luxe Hide Empoewe,LD02190,,,,云南筑妙商贸有限公司,Fashion,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Festive & Party Supplies,,T4,7495970745355896964,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002176,FELYFIT,LD02191,,,,浙江水母科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Sport & Outdoor Clothing,,NULL,7496053664984893524,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002177,Cow&Kitty BORRY ROSA MALL,LD02192,,,,重庆智合冠宇科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002178,HAPPY GLOBAL CHOICE,LD02193,,,,VALUE PERSONAL LIMITED,Beauty&FMCG,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Snacks,,T2,7496270015132698705,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002179,ROMASS US,LD02194,必招 7 月,,,小白雲國際貿易有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",Fragrance,,T4,7495539640031545391,快消生活,qilinyou,BD,金慧婷,,/,/,/,,是,5-已入驻,,赵月晨,,,,,,7495983515102448531,,,,,,,已填写,,,,,,,,2024-11-07,3.other,1,1,1,0.00,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002180,Bebird-blackbees,LD02195,,,,黑蜂终端(深圳)科技有限公司,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Eye & Ear Care,,T1,7494195864596808817,快消生活,huangyaqian.echo,BD,夏春雨,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
