LD_008121,GANIA,LD08171,,,fashion自补,/,Fashion,/,/,Fashion Accessories,Costume Jewelry & Accessories,,T4,7496005300891060469,服饰服配,NULL,,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008122,KORMESIC&CEROVA,LD08172,,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Haircare & Styling,,T3,7494221678777435990,育商,huangyaqian.echo,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008123,Chic Nook,LD08173,,,fashion自补,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7496128456617003882,服饰服配,NULL,,,谢冰沁Bibi,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008124,Hello NN,LD08174,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7496319034830653593,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008125,FESTISOUL Store,LD08175,,,,/,Home&Living,/,/,Furniture,/,,T3,7494374525703260083,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008126,Euhomy Appliance,LD08176,,,,/,3C,/,/,Household Appliances,/,,T3,7496132335575140919,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496199948857150390,,,,,,,7496199948857150390,已填写,2025-05-21,1.skm,1,1,1,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008127,KUBER Wear,LD08177,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7494235610958169481,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008128,Ocoopa,LD08178,,,,/,Fashion,/,/,Household Appliances,/,,T3,7495160716678367539,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494127425473775034,,,,,,,7494127425473775034,已填写,2025-09-04,2.hipo,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_008129,Follow The Trend,LD08179,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7496166846830774870,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496166846830774870,7496166846830774870,,,,,,7496166846830774870,已填写,2025-10-17,2.hipo,1,1,1,43.42,T1,2025-10-17,2.hipo,1,1,1,16952.99,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008130,ROMASS US,LD08180,必招 7 月,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Fragrance,,T4,7495539640031545391,快消生活,qilinyou,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7495983515102448531,7495983515102448531,,,,,,7495983515102448531,已填写,,,,,,,,2024-11-07,3.other,1,1,1,0.00,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
